title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【笑波子】The Evil Within 邪靈入侵 系列 第一輯（第1~7P）,单机游戏,1,1580,7,5,12,5,16,12,笑波子SmilingBoris,20773607,1467061643
【亲脚不细工】20160627留在记忆中的亲吻写真约会【生肉】,综艺,2,641,2,1,11,0,5,0,廣海渉,18948462,1467062022
【鹿晗】 鹿校草的日常 part 1「我怀疑这奇遇只是个恶作剧」,明星,1,6467,129,25,167,74,34,27,MedianerasLu,31706694,1467062991
误导向【焰钢】Message【腐向慎入】钢之炼金术师,MAD·AMV,1,12660,169,89,708,534,77,424,_砂上_,1400730,1467063024
雪球机关枪,搞笑,2,0,0,0,0,0,5,0,狐狸麻麻滴好大儿,28761665,1467062991
100把诺手纪念视频 实力躺赢,网络游戏,1,29,0,0,0,0,2,0,刑天尚武,2562587,1467062997
【血源诅咒】月狗测试器 —— 阿米达拉之臂,单机游戏,1,2558,3,12,4,9,13,5,八雲熊,2994380,1467063692
[osu!droid]一位纸张拇指双指的偶素八星图！pass,音游,1,275,6,9,1,6,4,0,我脑壳长铁,4296160,1467063087
104碰到队友杀手,单机游戏,1,353,8,3,5,2,5,1,Needle爸爸,6109939,1467063012
源氏和堡垒的鸟恨情仇【啊鱿讲故事】p2,电子竞技,1,28805,528,129,215,72,8,0,yo鱼,1715834,1467062804
【男子饭】20160626＃422 改良面食【生肉】,综艺,2,376,0,1,9,5,6,0,廣海渉,18948462,1467063069
【美食/生肉也好啃】古怪食物 Bizarre.Foods.S11E01.马德里篇,社会·美食·旅行,2,4594,150,17,75,7,11,0,karenlin,2550259,1467063879
【剧场版】你的名字 预告片2【天使风字幕组】,资讯,2,13077,49,31,312,65,218,7,文曲星,1578783,1467064460
主播真会玩炉石篇03赢了手速输了智商,电子竞技,1,219313,1086,1139,107,328,63,9,是大腿,1565155,1467061589
【720P】 濒危物种少女 【诸神】,完结动画,2,280177,7255,299,23112,1652,207,4097,GardenOfSinnes,8343391,1467064850
一加3简单开箱以及上手,手机平板,1,1750,72,18,6,25,2,0,葱SUN,11049311,1467065533
【乃木坂】160612 中元日芽香 斉藤优里 和田玛雅 千原靖史 Buzzdoll 【撕锅小短腿Kii酱】,综艺,2,4828,197,8,165,24,14,11,天翼羽魂,2301165,1467064409
【火柴人】【正片】【中字】RHG6 ShadowRose vs Jade,短片·手书·配音,2,72312,562,153,2511,324,365,796,纱布浅丶,3556545,1467061134
学人炸牛排，一个买家秀,美食制作,1,6422,57,18,81,73,20,24,cbvivi,224335,1467061122
【Taylor R】[中英]5个简单健康的夏日零食做法 @一直喵字幕,美食制作,2,12422,138,29,839,77,40,4,一直喵OneStraightCat,325406,1467064635
MC-空岛战争-So Easy,单机游戏,1,178,0,10,2,1,11,0,上帝他爸,6709109,1467064042
【cutepolish】完美印章美甲 - 教程 DIY 小窍门,美妆,2,13882,134,17,614,29,36,5,一直喵OneStraightCat,325406,1467064051
大鱼海棠  触动千万人，一个感人至深的爱情故事,短片·手书·配音,2,0,0,0,0,0,0,0,人在风中6,28709552,1467061001
从零开始的异世界【簡易型MAD】ED,综合,1,763,13,11,24,10,7,0,嵐峰月,19658209,1467064796
今日便当｜big&mini－巨无霸饺子vs迷你饺子！,美食制作,2,4353,36,14,43,2,14,1,比巴卜生姜,18586214,1467064863
洪潮之焰 The Flame in the Flood 第2期 一条船 CS青木解说,单机游戏,1,17873,744,121,64,385,17,54,CS青木,342646,1467063378
【刘中国老师】射手座之试炼——几何证明,校园学习,1,742,4,7,8,7,11,4,刘中国老师,14602229,1467065039
【闲聊007】20160627【生肉】,综艺,1,2,0,0,0,0,0,0,廣海渉,18948462,1467062016
