title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
让世界变得更有趣的行为艺术,社科人文,2,4762,141,29,118,17,29,17,妄想200,16093833,1472100979
【刺客列传 cp全员剧情向】离火灼天 糖刀并下,影视剪辑,1,5415,128,41,220,79,20,11,阿麦萌依,2461794,1472101046
【息兮】慕寒x东篱【伪合唱】【慕寒伴奏东篱伴唱版】,音乐综合,1,336,1,4,10,1,10,3,李玄英,27542209,1472100980
fly away 梁静茹 （Leap Year 2010）,音乐综合,1,3653,4,10,44,7,25,8,不读书却求甚解,35708952,1472101059
魔性视频第五弹【跟着新月大小姐抓重点】,影视剪辑,1,3301,50,8,136,58,26,14,迷铃蕊芯,14312040,1472101085
魔轰神：被封印的诸神所在的世界,单机游戏,1,1115,5,26,11,20,15,3,芳泽堇゜,5056184,1472101164
凯特温斯莱特老年妆,明星,2,2987,8,2,19,4,5,7,爱喝水的牛,10614691,1472101107
极乐净土【改速版】,音乐综合,1,293,2,13,11,3,8,0,predawnの流泪,28539017,1472101127
【五站联合】【全场中字】160825 Blackpink behind the sence #001,明星,1,1258,7,6,24,7,13,2,Charming_Rose朴彩英中文首站,37963259,1472101135
【MEIKO】MIND CRUISIN'【heartwarmingclub】,VOCALOID·UTAU,2,44,0,1,1,0,5,0,chckbl,387718,1472101177
【小游戏：千里追女友】怎样在第一关开挂,单机游戏,1,957,6,15,3,6,10,6,東海夠難閑,27252866,1472101124
【2014国剧盛典】【赵丽颖合集】等包开场秀合唱,明星,2,17297,94,11,193,4,14,92,半个yc,16136565,1472101174
Another Day In Paradise,音乐综合,2,817,5,0,24,9,11,7,磷酸二脂腱,13395822,1472101111
【宁泽涛】我真的不是黑粉_(:3 」∠)_,运动,1,10945,149,47,352,146,54,17,短思量,9849713,1472101114
【漳大漫协】Blessing,明星舞蹈,1,785,12,16,9,28,16,7,就是这个凡人,2479883,1472101092
【黄子韬】如果你决定爱他的话,明星,1,541,6,12,32,28,11,3,戊戌年九月,19471923,1472101128
20160825【毛笋】快来和我一起拍照呀,大熊猫,2,904,33,6,21,2,3,0,喜奤,11361202,1472100992
揭秘价值800万的兰博基尼Aventador生产制造全过程,社科人文,2,224,5,3,5,0,5,0,Ve先生,28140200,1472100981
【刘涛】Black and Blue。爱你不会受伤。,明星,1,981,6,2,21,3,5,2,风冷不知,23146071,1472101052
RISING LIGHT - Stack（原曲：竹取飞翔lunatic princess）,音乐综合,1,1050,5,4,35,12,7,2,秋霜玉42,13107438,1472100982
《中山第四届动漫游戏文化节》“炎之刻印-DIVINE FLAME- (off vocal)”MV,日常,1,694,31,6,8,16,11,0,魔枪侠,46577,1472101214
【新边城浪子】【雪浓】 36集重逢cut【朱一龙】【柴碧云】,影视剪辑,1,36594,174,58,379,49,66,172,凡俗陌,4925636,1472101203
AKB48 -《MARIA》 MIX CALL 教学,音乐综合,1,1705,4,3,56,15,13,5,大岛株式会社,15045911,1472101197
DOTA2零基础入门小教程之基础知识讲解（界面、定位、对线、补刀、物品等）,网络游戏,1,3556,12,10,60,32,29,12,谁叫逗比丐,16416098,1472101207
法西兰骑兵,网络游戏,1,53,1,1,1,2,4,0,镜中回音的独白,26015521,1472101217
【真相】唐马儒的爱情故事,搞笑,1,31218,7,7,57,16,26,103,欢乐的枫子,1294537,1472101343
【愉小鲜】杀出重围：人类分裂，快来尝鲜咯。16.8.24主机PC同步发售的好评游戏。,单机游戏,1,333,1,2,2,4,2,0,愉小鲜,6525883,1472101220
【大宝剑联盟】在法国 每个儿子和母亲会发生的故事,搞笑,2,14494,150,89,234,53,46,5,大宝剑联盟,429251,1472101301
MyCSGO 第7期  这个呆逼是开挂的你看出来没有,电子竞技,1,228,8,10,0,6,3,1,珞麸,4469978,1472101342
【BMS】★23 -LAST BOSS- by Abcdullah,音游,2,434,0,0,3,5,4,0,IAは俺の嫁,7485470,1472101284
龙星凉露肉福利,明星,1,19708,33,26,298,81,42,10,不负男神的迷妹,20641896,1472101322
王俊凯鬼畜一则,明星,1,2578,15,7,68,9,58,25,想用螃蟹钳给你剪刘海,11745969,1472101206
