title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【网址污污⊙我的世界】网址与天杭的服务器小游戏建筑战争 特效址！,单机游戏,1,138,8,4,0,3,2,0,网址污污,15570797,1471086826
【动画】ECHO - Animation （西班牙语）,短片·手书·配音,2,4727,61,19,305,20,24,10,半梦已上线biu,2217069,1471086834
感觉身体被掏空？吃了这一物，立马振奋起来！,美食制作,1,2459,25,12,98,14,11,2,薯片妈妈记录生活,27865968,1471086906
【光速姉妹】虎视眈眈【原创振付】,宅舞,2,1,0,0,0,0,0,0,MiriamJ,3632990,1471086862
鲍威尔的小恐龙朋友,日常,2,27,0,0,0,0,4,0,blapp,34124786,1471086831
【無尾熊官方】【粉紅怪盜】【中文字幕】狂吃成長飲料粉，我要長高！！！,搞笑,2,15565,107,35,117,7,24,3,無尾熊字幕組,36018724,1471086849
【纪录片】 快乐便当 - 写食人生（华语原声）,社会·美食·旅行,2,2056,18,6,78,5,5,2,我不是火枪手,12752385,1471086821
【Minecraft】生长工艺milk 讲解 附加核爆 你怕不怕=-=,单机游戏,1,475,3,7,6,2,14,4,Anlo灬C,6270114,1471086857
中岛卓也 界外球打击秘诀 终极技术 卓酱在职棒界的生存之术,运动,2,365,0,2,12,4,12,4,Kkkkaiko,8184638,1471086948
【佳期如梦】尤佳期CUT-02,影视剪辑,1,3736,36,5,16,2,2,13,月吟书,27717493,1471086835
【無尾熊官方】【貓店】【中文字幕】試吃連貓咪都不吃的貓咪罐頭！！！好可愛！！！,搞笑,2,3586,27,11,57,13,23,0,無尾熊字幕組,36018724,1471086916
【アモレカリーナ名古屋】东京夏日相会,宅舞,2,2169,19,15,58,8,12,2,私の彼女マリス身长148,200870,1471086852
akb48 認真對決「大家志津香 vs 小笠原茉由」篇,明星,2,543,8,1,7,1,9,0,angus1002002,8379715,1471086907
【坦克世界】日本坦克宣传片,GMV,1,50326,131,57,302,34,46,262,清风蓝云KUANG,31839477,1471086855
女漫游2分40速刷暴走擎天之柱,网络游戏,1,559,2,2,2,1,2,0,一片烟雨挂断桥,4221753,1471086858
【赵丽颖】诛仙碧瑶版 有一个姑娘mv,影视剪辑,1,674,12,5,10,4,7,1,向前七步齐步走,17420520,1471086945
【d.KinKi】KinKi Kids「to heart」,翻唱,2,774,7,1,4,3,15,1,土豆年糕酱,2959277,1471086902
【燃向/斩赤红之瞳】赤瞳剪辑“我坚信前方亦存在着因此而开辟出的未来”,MAD·AMV,1,1229,89,6,28,14,17,16,Silver_R,18692165,1471086979
怪物猎人联动篇|合金装备和平行者HD额外章节,单机游戏,1,9083,569,46,152,149,46,52,Rikkei力,20947451,1471086971
【MAMA_Drive】cnrk互动合集 ~8.12 nico生课外活动编~,官方延伸,2,1962,28,15,64,20,10,4,COOKEI71,615893,1471086957
枫林第一狂三回归（曾经）看来还没退步的太厉害，依然能小小的装逼.要仔细看简介哦,电子竞技,1,506,11,22,4,10,6,3,时幕殃,1448116,1471086992
【Tasty】芝士花椰菜 @黑番茄字幕组,美食制作,2,2077,5,11,125,6,19,3,黑番茄字幕组,34810005,1471087026
【张启山】我的意中人，是个盖世英雄——老九门 陈伟霆,影视剪辑,1,1137,14,1,26,10,14,1,在在在提披风,25562240,1471086969
【FFF团】我已经28岁，明年就是火法师了、,综合,1,465,4,2,4,6,8,2,海听柔,22861545,1471087114
[多素材/MAD]看了不怕你不感动！,MAD·AMV,1,576,39,17,16,53,19,4,智商不高的白菜,18794247,1471087097
潇洒哥拿小金涮一把,日常,2,32,0,0,0,0,1,0,blapp,34124786,1471087115
【生化危机群像】如果我们不曾相遇♂艾丽丝all,影视剪辑,1,166,3,5,2,0,6,0,机智的深深,3356898,1471087133
160807 大阪 Block B 表志勋 focus part2,明星,2,316,6,0,26,1,5,1,cheayirsin,32657498,1471086983
"中学生创客,吃美食不饿,玩艺节夜乐",日常,2,12,0,0,2,0,1,0,blapp,34124786,1471087024
【ちぃもー】东京夏日相会,宅舞,2,0,0,0,0,0,0,0,MiriamJ,3632990,1471087086
【和田光司】 The Best Songs!,音乐综合,2,586,4,6,25,5,3,0,野原广志35岁,2280453,1471086905
如何制作小熊饼干,美食制作,2,8785,7,9,190,5,32,41,阿尔瑟斯,4640509,1471087020
【游戏王ADS】游戏王打野决斗日常(ads)—幻骑升阶入魔,桌游棋牌,1,827,3,6,7,2,2,0,暗之水滴,1778056,1471087178
【国际乒联官方】2016里约奥运会乒乓球决赛预告短片 男子单打（马龙vs张继科） 女子单打（丁宁vs李晓霞）,运动,2,43725,202,23,1235,42,64,13,七九君,729747,1471087130
[fate联盟/大片向]FATE最新剧场版？！高能，saber惨遭......,MAD·AMV,1,16267,161,66,393,118,52,4,銀酱の万年,2930093,1471087073
街头恐怖恶搞3  最后被路人绝杀,搞笑,1,6330,49,13,18,3,6,4,面包机_,37490147,1471087157
=。=这股傅园慧采访视频是谁配的音，反正第一个句话出来我就已经喷饭了,搞笑,2,4164,32,10,80,25,69,10,一只很酷很酷的熊,26270118,1471086997
【埃尔文翻唱】琴师 【古风初投稿】,翻唱,1,9571,351,241,221,245,42,7,埃尔文Elvin,35956620,1471087081
【欧洲旅游】意大利 瑞士 法国 三国16天自由行的纪念 随拍 视频,社科人文,1,8218,14,3,97,22,41,41,日曈昽,38115289,1471087003
皮衣特工Luka（短发）【lamb】,MMD·3D,1,2882,14,19,314,28,4,37,JabberinForetser,11321492,1471087067
160807 大阪 Block B 表志勋 focus part3,明星,2,642,9,2,42,8,9,7,cheayirsin,32657498,1471087147
监拍大熊猫生产全过程 国宝就是这样诞生的（转自优酷）,大熊猫,2,864,14,3,5,0,16,0,MaskAlice,619800,1471087156
【迷你厨房】Mini Food Dumplings 制作浜松餃子,美食制作,2,674,18,3,17,2,12,0,口嗨bot,4063738,1471087179
[AMV/我的青春恋爱物语果然有问题]一直这样,MAD·AMV,1,1173,26,6,44,28,6,3,Tokitu_Yuzo,33347525,1471087150
【漫配】传说之下— 亲Temmie (中字),短片·手书·配音,2,20281,46,100,1059,26,48,78,半梦已上线biu,2217069,1471087007
【兔姬】星期五的早安【初投稿】,宅舞,1,3245,30,27,43,45,5,2,兔姬酱w,10245249,1471087159
【林俊杰】Secret Action On Christmas! 圣诞节的秘密行动!,明星,2,446,4,1,33,1,3,5,CCAri,20940708,1471087166
【小确幸】陈凯彤 Lillian Chan (Feat. 陳家樂),音乐综合,2,715,3,1,9,1,10,7,无敌倒霉蛋,416015,1471087047
【YXTV】糖园长观看艺兴的对你说情话时的反应reaction！睡觉前看和喝了春药有什么区别啊喂！,明星,1,3375,70,32,33,28,25,9,糖园长,8010940,1471087049
【迷你厨房】Mini Food Macaroni au gratin 制作奶油烤通心粉,美食制作,2,722,26,3,15,3,3,0,口嗨bot,4063738,1471087041
【ウォレット】青,翻唱,2,89,1,2,9,0,9,0,装死的樱木,297647,1471087057
【康熙来了】2004.03.30(第58集)　演而优则导－钮承泽,综艺,1,5602,74,9,54,2,19,14,EasonLiu,12828656,1471087199
【みりーmillie】　快乐合成器　【初投稿】,宅舞,2,1115,14,12,25,3,4,1,私の彼女マリス身长148,200870,1471087194
【目前最全中字共69集附课表】美丽芭蕾Ballet Beautiful天鹅臂瘦腿瘦腹提臀背部雕刻全身燃脂今天我们都是废鹅,健身,1,5738696,86081,12671,405387,24010,75852,15023,站在强迫之巅的少女,8770537,1471087211
【泡面达人】No.5833 Distriborg (法国) 鸡肉味日本面条,美食制作,2,300,0,1,0,0,3,0,有乜,857404,1471087196
守望先锋 精彩片段 死亡？你说什么呐？,电子竞技,1,179,0,2,0,1,1,0,古门,20376725,1471087219
(金快解说）超级鸡马：说好的主角光环呢？,单机游戏,1,111,0,0,1,2,10,0,金快2012,12792835,1471087262
涂鸦【16年8月】,绘画,1,229,1,11,1,6,5,1,soya,3496846,1471087198
【Sebastian Stan】You make  me smile,明星,1,146,1,2,9,2,4,0,歌入云风,6519996,1471087389
天上掉馅饼的好事遇上了,日常,2,17,0,0,0,0,3,0,blapp,34124786,1471087387
【野中蓝】RARIRURE~EVERYBODY~（第49回）（160812）,官方延伸,2,130,0,0,3,0,4,0,RabbitC,47653,1471087267
【兮白】偏袒【预告】,宅舞,1,3341,37,30,108,58,20,20,-溜一口兮-,7545531,1471087257
【孙杨￣へ￣】纪录片《伦敦猜想》大兵小将,运动,2,3599,109,0,156,3,7,2,孙杨视频集,30410925,1471087272
【初投稿】适合lo娘日常出门的妆-甜娘的日常,美妆,1,2909,23,14,60,20,20,3,千代羽诀,527617,1471087290
[韩国美妆博主 WOORIN ] 出门前的简单化妆 韩语生肉,美妆,2,724,4,1,13,0,18,0,jgorden,35090641,1471087298
喵咂嘴,喵星人,2,672,3,2,20,5,17,2,额哈哈哈哈哈哈哈,2350718,1471087292
大胡子脱口秀,日常,2,13,0,0,0,0,3,0,blapp,34124786,1471087249
【Youtube】Planet Earth seen from Space (ISS),社科人文,2,275,0,1,8,3,12,1,YourEDM,28397038,1471087254
【鹿晗】奔狍小剧场：鹿Boss换头像背后的故事,明星,2,64012,595,255,1228,341,172,283,Sunflower鹿晗,13668314,1471087403
我的法鸡总捉急,网络游戏,1,119,0,0,2,1,8,0,见过大风大浪的小水手,6463971,1471087454
【每天一段音乐】第315天,音乐综合,1,330,1,4,18,3,12,0,羊鸣教住持,301801,1471087318
D.VA,电子竞技,1,66,0,0,0,0,2,0,lalala托姆,4540982,1471087233
【300英雄】这个永恒之地，已经被肉占领了_(:зゝ∠)_,电子竞技,1,143,0,7,1,6,1,1,为中二的吾惠献上爆炎,1920005,1471087256
【300英雄】麻麻我吓到立刻就躺下啦,电子竞技,1,117,2,6,1,4,4,1,为中二的吾惠献上爆炎,1920005,1471087461
【资讯站】一美：能够扮演初恋总是光荣的（2011糯米欧与朱丽叶首映礼）,预告 资讯,2,2067,33,15,97,11,9,11,詹姆斯麦卡沃伊资讯站,7295872,1471087455
【OP替换】禁忌咒纹&Qualidea Code X 魔法科高校劣等生，这个有违和感吗？魔劣续,综合,1,16958,113,29,300,32,11,3,琥珀结晶,18320074,1471087255
【エド幕府】飞行少女,翻唱,2,167,0,1,9,1,6,1,ChestnutFrost,38116390,1471087445
【Ida】[中字]粉底Vol.2 底妆工具选哪一款好？6款粉底刷大比拼,美妆,2,1913,8,2,39,6,5,2,germanottagaga,25619409,1471087415
超级马里奥兄弟1代磁碟机版负关演示,单机游戏,1,3739,79,23,47,19,21,0,马里奥Player,32372256,1471087313
【铁路】洛阳拍车合集,野生技术协会,1,1167,15,8,15,5,15,4,airwe,10881065,1471087326
【瞎看什么】果然学好斗地主，走到哪都有出路,影视杂谈,1,1865743,3621,467,2212,8418,2595,5160,瞎看什么,34858100,1471087330
【迷你厨房】Mini Food Pudding 制作鹌鹑蛋布丁！,美食制作,2,1082,15,7,27,5,7,2,口嗨bot,4063738,1471087330
SR15B - 0701[SM Rookies] 舞蹈练习 (Non-Kpop Fan),明星,2,2153,8,6,27,1,2,0,Fairyland蕊,10178499,1471087467
魔卡少女樱第二部主题曲【白金】德语翻唱,翻唱,1,1031,4,5,15,5,4,5,鹿目_圆神_,10804737,1471087483
暴走舰炮队的暴走1-3,网络游戏,1,147,0,0,0,0,2,0,小刚拜见,35580501,1471087527
异丙纯【疯狂麦克斯】 流程实况解说【第二期】,单机游戏,1,75,8,3,0,2,3,0,异丙纯,2849390,1471087452
【嘲讽脸玩侠客风云传】02roll人物属性,单机游戏,1,117,0,0,0,0,6,0,冬虫和夏草,15388114,1471087529
守望先锋 精彩片段 特别快递,电子竞技,1,387,2,3,0,1,3,0,古门,20376725,1471087527
【仿妆】 大琴师琴仙by草鹿,美妆,1,300,14,7,7,12,5,2,哟哦豁,23097527,1471087524
疯狂的麦克斯 8 老司机翻车了,单机游戏,1,44,0,0,0,0,1,0,の星曦,11684810,1471087282
