title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【王天风/郑当】让他降落,影视剪辑,1,759,33,18,42,34,15,20,伯小夏,17917860,1469512349
【防弹少年团】一说到田柾国就会想到的视频合集 （转载）,明星,2,6219,147,12,462,23,13,0,JiminJK牌专业安利,27510731,1469512222
【熊猫君】 OverWatch 屁股蛋疼无聊无限脑洞第一期 尼泊尔篇,电子竞技,1,86,1,0,0,2,2,0,此账号已经被封停了,5932135,1469512366
【PS4 歌姬计划FT】'三叶草俱乐部'EXEX难度Perfect手元 103.54%,音游,1,184,2,4,4,3,3,0,摩卡AyiN,11486106,1469512469
【wreckandsalvage】What about that Bacon,日常,2,300,6,8,10,3,8,0,银河Aftemoon,8896482,1469512417
3分钟看懂子弹的工作原理,野生技术协会,1,40467,415,100,454,76,46,0,Ve先生,28140200,1469512570
我的世界|冒险者传说#3|夜袭石人平原 （风少 我的世界）,单机游戏,1,32,0,0,2,0,3,0,WindyT-Dan,23624943,1469512537
SNH48X160617剧场公演汪佳翎剪辑,明星,1,37,0,0,1,0,4,0,天鹅绒房间,36074902,1469512542
[高雯&江莱] 狐狸精(不喜勿进),影视剪辑,1,2639,31,11,66,17,20,14,爱吃糖的球球,14612632,1469512573
土狼的懵比：“都是套路！城里套路深，我要回农村！”,野生动物,2,4006,43,22,62,18,39,2,酱板up,24875970,1469512512
【汉语路书水泥路】斯巴鲁中国拉力车队韩寒2011CRC四平站车载视频,汽车,2,129765,560,170,648,66,244,734,卞老板,1739643,1469512413
【大和】小技巧单通修罗毒风，不过失误有点多,网络游戏,1,186,2,1,1,1,11,1,尊贵会员大和亲,7459068,1469512247
FW Maple - 吸血鬼 vs 潘森 - KR LOL Master 529LP,电子竞技,2,285,2,1,1,1,5,0,粉菠萝,847267,1469512236
[欧美男模] My shining star,明星,1,496,9,8,27,5,11,1,元气小款,3556476,1469512454
【李泰民】<搬运>「再见 一个人」Dance Practice ver.,明星,2,2302,21,10,151,15,34,9,kion1128,361333,1469512550
【辜止勾卫】稳稳的幸福,影视剪辑,1,1150,5,2,37,5,6,4,阿婧婧婧婧婧,2724379,1469512504
手机瞬间变王八，吓死宝宝了,搞笑,2,277,1,2,1,0,3,0,鉴宝团,34254388,1469512373
公路车的越野之旅【环法自由线路】,运动,2,635,4,4,13,0,19,0,95号搬运工,23210525,1469512323
魔豆的单机游戏 the escapists  脱逃者EP2 帮忙如此轻松,单机游戏,1,38,0,0,0,0,4,0,-mido-,8800949,1469512605
Oasis-Wonderwal贝斯教程l,演奏,2,868,6,3,71,9,16,4,蒸鱼是真,22549978,1469512405
SKE48 松井珠理奈的双关语与桑原的支配人模仿,明星,2,341,0,0,6,0,6,1,关于松井珠理奈的一切,35532893,1469512523
【睡狗】热血无赖过关流程第一期,单机游戏,1,267,5,4,1,2,3,0,马克佩恩斯,11889776,1469512255
【陈鸿宇】现场版live「理想三旬」,音乐现场,2,27780,232,48,269,73,105,16,RFan,3063642,1469512298
【山路对决】改装宝马Mini Cooper S R56 对战 本田思域  J'S RACING FD2,汽车,2,4193,5,8,32,2,55,15,卞老板,1739643,1469512252
【QQ三国】2016跨服军团战：蜀國聯盟VS 絕對精英（第一轮积分赛）,网络游戏,1,279,3,1,0,0,15,1,图小图,1334877,1469512507
月瘦20斤轻松瘦身 找对方法瘦身就是这么简单,日常,2,1026,4,4,27,2,11,2,减肥瘦身训练营,34432246,1469512553
【the winships】【Jenny&Ruth】 Canadians Try German Cand,日常,2,1009,3,7,6,14,5,1,l布里里l,23325705,1469512478
百分百进球秘诀，文明观球哦,单机游戏,1,84,0,1,0,0,10,1,逸珂JULY,10962135,1469512454
【けぱる】逃避法律摇滚,翻唱,2,79,44,3,1,0,2,0,哼哼_啊啊啊啊,2761268,1469512299
游戏王第3届NSOD次元大赛第四轮 麒翰（英雄）vs相辰（光道狱火机）,桌游棋牌,1,152,3,2,4,0,6,2,决斗者霸王凯撒,8904384,1469512436
【欢乐向】夏目友人帐MV,综合,1,560,15,2,25,3,25,5,夜侵晓,20798928,1469512243
20160726 幼年园钓猫 三只猪仔排排坐,大熊猫,2,540,36,7,9,0,4,1,汽水的奶白肚腩,22576805,1469512205
今日便当-紫苏汁,美食制作,2,0,0,0,0,0,2,0,aooooaoooo,13208998,1469512243
【黑白之酒】大型伦理情景剧《凯瑟琳》（三）,单机游戏,1,924,9,1,14,7,3,3,黑白之酒,1487614,1469512223
【赛车电脑调教】2013 斯巴鲁中国拉力车队 STI拉力赛车电脑调校,汽车,2,164,0,1,4,1,10,0,卞老板,1739643,1469512565
女神有料：萌妹子分饰十角教你如何撩汉！,搞笑,1,1760,10,5,23,5,10,0,灿烂星光官方,10888746,1469512414
【果日】Same Ol‘ Mistakes 番外riri,明星,1,252,0,0,3,3,4,1,果子狸XD,16617891,1469512387
【游戏了单机网】地球防卫军4.1EARTH DEFeNSE FORCE 4.1 The Shadow of New预告片,单机游戏,2,131,0,0,0,0,3,0,私奔妞,27891056,1469512329
暗夜【黑暗寓言5：最后的灰姑娘】第4期 诡异的木偶加工厂,单机游戏,1,220,2,2,1,0,9,0,暗夜Darknight,11207444,1469512478
【游戏了单机网】武装突袭3ArmA III预告片,单机游戏,2,338,0,3,3,0,2,0,私奔妞,27891056,1469512269
【けぱる】Chaldene,翻唱,2,44,0,0,3,0,4,0,哼哼_啊啊啊啊,2761268,1469512502
【红牛敢死队】特技滑翔伞-欧洲最高山！,运动,2,1776,11,2,35,3,28,9,95号搬运工,23210525,1469512596
[MAD] - First Time,MAD·AMV,1,20,0,0,0,0,3,0,あまくさえいじ,19147668,1469512351
【Kisa的世界-COS妆】安腾先生的Cos妆教程  @selfly工作室,美妆,2,1790,52,8,39,5,4,1,SelflyTV,8780171,1469512294
2.5 Days [ 2nd place AMVCON 2016],MAD·AMV,2,571,8,22,37,5,6,2,已注销20200610,4538335,1469512365
学霸【大张伟】化学实验腐蚀手指？？(杭外）,综艺,1,9060,56,8,95,16,17,26,八曙啊嫲,12625289,1469512460
Lana Del Rey- YOUNG AND BEAUTIFUL (COVER BY JADA FACER DANCE,翻唱,2,2035,17,7,115,14,18,8,YUMA的绵羊笑,8781119,1469512324
Pokémon GO PSA [SFM/TF2],手机游戏,2,665,11,2,16,0,4,0,TF2Video,956291,1469512417
【游戏了单机网】索尼克：狂欢Sonic Mania预告片,单机游戏,2,595,2,0,3,1,6,2,私奔妞,27891056,1469512405
黑暗之魂3纯特大剑流程8（卡萨斯地下墓地）,单机游戏,1,2117,36,4,16,19,13,8,Darkbblue,34722740,1469512271
【Summer实况】路易与钟道的街塔（试玩）,单机游戏,1,34,0,1,0,0,5,0,夏小时_睡不醒,3514396,1469512580
【枪声音乐】Ariana Grande - Problem (Dubstep),鬼畜调教,2,914,21,11,16,10,16,3,早起真是困难,18123845,1469512295
