title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
少点花哨多点实用性，送餐机器人运用于酒店送餐,野生技术协会,2,1121,1,0,4,0,15,0,乐蛋ORG,14516107,1475397012
【合集】草图大师2015基础教程,校园学习,2,11100,49,16,991,96,88,8,midnightviolet,16854820,1475397015
ALIENWARE 16年最新款之标标带你玩ALIENWARE（八）,电脑装机,1,1925,4,1,4,6,3,0,标标带你玩电脑,44510013,1475397023
【河合奈保子】 Invitation,音乐综合,2,343,1,1,4,3,11,3,kikikaikai9999,7744171,1475397068
俄罗斯大牌死核Slaughter To Prevail主唱Alex Terrible翻唱Infant Annihilat,翻唱,2,18759,75,60,528,98,347,247,苦苦音乐,17507941,1475397060
百鬼七黑,电子竞技,1,68,5,4,5,10,7,0,Reisalin,8931258,1475397086
辅助娜美的第六感 - ROX VS G2 2016 World Championship,电子竞技,2,383,0,2,0,0,12,0,ImXiaoCha,40046110,1475397086
【恐怖解谜游戏】PRICE 代价 EP.1   黑暗童话风格大爱,单机游戏,1,121,2,10,2,6,3,2,瞬零之旅,26231461,1475397020
夜晚的公路上长板爱好者将摩托车远远的甩在身后,日常,2,2984,37,5,15,1,8,1,乐蛋ORG,14516107,1475397248
王者荣耀马可波罗,电子竞技,1,207,5,1,1,0,5,0,时崎狂三-天葬,28647427,1475397336
【Tastemade Japan】20160929 鲣鱼大蒜生鱼片配橙子醋冻,美食制作,2,2018,5,5,64,10,16,4,一色蘭,7288959,1475397104
泰剧爱来了别错过OT（FB）视频合集32,明星,1,576,2,1,24,3,6,0,猫猫慢慢,14197794,1475397274
20161002 闲聊007神回 【预告】【masa cut】【无字档】,综艺,2,2403,7,7,20,3,6,1,Masa喵粮组,23317319,1475397013
【MMD】炫酷女王巡音 初音『Madamamagoto』,MMD·3D,2,4443,33,33,606,7,12,24,炎髪夏娜,14972,1475397189
工程会计线上学习 长沙会计证培训 会计从业资格证证书,野生技术协会,1,34,0,0,3,0,2,0,前原夏尔,19364208,1475397202
【萧忆情】微微一笑很倾城 宝宝只是单纯的想录个像，奈何人生如此艰难（C.E动漫音乐节饭拍）,日常,1,722,21,10,17,11,9,0,大写加粗的V米,12513873,1475397222
樱花庄的宠物女孩MAD-喜欢你 所以不在乎你的缺点,MAD·AMV,2,1524,33,7,45,14,19,7,溪涧灬,7374440,1475397091
【侠客前传】侠客风云传前传初体验向实况解说02---你们四个平时都干了些啥啊,单机游戏,1,23,0,0,1,0,2,0,gamer鱼,4475260,1475397183
会中国功夫的男人-黑叔,MAD·AMV,1,622,15,4,19,10,8,3,ILFallege,4862659,1475397245
【茶蛋】关于婚姻、孩子的想法，看完不要伤心啊,明星,1,165559,1465,769,8694,554,592,3771,前往远方的呜呜,37438148,1475397236
29垄断与垄断行为_标清,校园学习,2,316,3,2,9,1,14,4,紫兰百草,43107497,1475397088
伪恋MAD-zawsze in love 无意中已喜欢上你,MAD·AMV,2,395,6,3,14,3,4,2,溪涧灬,7374440,1475397281
dota2 传说中的菜鸡互啄,网络游戏,1,28,0,0,0,0,5,0,红尘万世仙,11558694,1475397081
李成烈rap合辑,明星,1,8398,98,20,311,89,33,60,Kyu-武林之花,19521678,1475397393
Tobu合集,鬼畜调教,1,2201,32,15,22,14,4,1,三国sssan,7951194,1475397025
【TOP50】灵魂歌基猴TOP38 H9 Where You Are not,音游,1,69,0,6,2,3,3,0,猴汪汪,17818683,1475397226
【马鹿实况】PRICE（完结）,单机游戏,1,155,1,2,1,0,5,2,马森长颈鹿,1922885,1475397287
【三好大叔Dota2】这就是你们要的小细腿 EG VS OG 败者组决赛第三场,网络游戏,1,4012,57,15,12,29,16,1,市级三好大叔,11544428,1475397245
【willow解说】 羽翼的祈愿 第二弹 坑爹的作者,单机游戏,1,19,0,0,1,0,4,0,fluttershy---,38224083,1475397293
【刘诗诗】快穿之不走寻常路 （又名《张晓苦哈哈的快穿日子》）,影视剪辑,1,78867,845,470,3165,2376,470,729,谢玲子-linHL,4654516,1475397090
【 AS Roma 】罗马官方短片祝福托蒂40岁生日！,运动,2,129,1,0,3,0,5,0,Azzurripunk,28746622,1475397106
 「宇宙巡警露露子」原声集专辑 / BD特典CD,音乐综合,2,1646,11,13,146,29,8,2,丿BCZ,5551,1475397246
奥利奥消防☆,音MAD,2,317,2,1,14,1,3,0,ddpzj,12505040,1475397299
【少女时代】161001 Gee彩排全体饭拍,明星,2,6920,113,22,213,6,6,3,YEricaY,12529097,1475397290
马冬梅,鬼畜调教,2,0,0,0,1,0,0,0,勤勉的我,15105316,1475397167
【MHX自制】巨大麒麟激斗！,单机游戏,1,800,5,14,4,2,12,0,MH-Monkey,12580241,1475397308
【APH江门小分队】常服片花絮,日常,1,537,33,34,21,16,24,1,苝貓_钻研渲染byebye,7158165,1475397143
【北洛辰】《破晓将至》   - -   不骗你 真的不好听,翻唱,1,183,3,29,6,12,6,3,北洛辰,4532755,1475397403
三国群英传7的OP+ED,单机游戏,1,744,0,4,8,6,4,5,RebeccaHawkins,7796810,1475397414
 jhlee0133 Hypernite Industries - Speedcore 300 Extra DT Ran,音游,2,2138,0,5,20,2,20,2,梅友人,392027,1475397418
"【慕玥】放我出去啊,梁雨晨!!!干嘛要拉我进来啊!!!  我的世界 红色嫁衣:魑魅魍魉",单机游戏,1,346,1,7,1,2,4,2,七海_Mio,15917856,1475397436
EX的新人教学：第五期 如何与十级的怪物们玩耍,网络游戏,1,247,2,2,0,4,9,2,TheArmada,2626695,1475397443
【Etho】Sky Factory 34 Fancy Decor( 精美的装饰 ),单机游戏,2,36,0,0,1,0,2,0,不等边三角,904924,1475397496
想对赵粤说,明星,1,145,0,0,3,0,3,1,救救wyf叭,27587556,1475397490
【Typoman】沉迷学习，日渐消瘦,单机游戏,1,139,1,0,1,4,4,0,纸ノ鸢,11827550,1475397569
兵库北地震啦！！！,社科人文,2,3065,11,8,27,1,6,10,坚决杀毒,7469324,1475397528
户松遥的心☆HARUKAS #181-183,官方延伸,2,241,10,6,9,2,11,0,Amano toko,275246,1475397520
[DNF]群员PK大乱斗,网络游戏,1,165,3,3,1,4,2,1,曼荼罗の污神,11220541,1475397512
伽略爱奚：飞鞋立华奏怕么？,网络游戏,1,23,0,1,1,4,11,0,中国首席盲人按摩师,37040973,1475397511
【我的妹妹不可能那么可爱】黑猫不哭。摸摸头,综合,1,353,3,3,8,6,5,2,颜子兮丶,37417732,1475397556
守望先锋火柴人 OverWatch Collab (修复音频),电子竞技,2,9465,150,30,234,80,124,0,BananafartmanMD,18450668,1475397588
『致郁 』unjust life（不公的命运）,MAD·AMV,1,1872,11,20,62,43,28,30,丶Cosmos丶,12926836,1475397600
【河图】【乐正绫】山河永慕,VOCALOID·UTAU,1,1558,58,30,33,23,9,4,左lui,10003636,1475397600
极乐净土,搞笑,1,287,2,5,7,13,7,1,次元忘,25583315,1475397492
10.2萌卡现场,日常,1,996,28,13,19,12,18,2,葫芦里没有药啊,19363507,1475397600
【钢琴】Gerudo Valley,演奏,1,905,3,1,16,7,16,2,吾爱sheet,35826773,1475397613
【东京喰种高燃】let me hear燃烧吧,综合,1,521,14,2,5,6,16,6,涅灵尤诺菲尔,12228224,1475397620
【Tastemade Japan】20160929 面包藏宝箱,美食制作,2,5778,25,13,211,13,23,7,一色蘭,7288959,1475397616
这是一个小熊杯垫，没错，是小熊。,手工,1,447,3,3,9,5,11,3,怡康康,35159864,1475397499
【悠】霜雪千年,翻唱,1,1744,483,63,36,94,13,3,天才少年悠悠悠,4435363,1475397698
爱剪辑-天下3 君临天下,GMV,1,729,2,1,14,0,8,2,半世倾君,5133310,1475397421
【Chase & Status】All Goes Wrong ft. Tom Grennan,音乐综合,2,85,0,0,1,1,5,0,Ndoom,10185080,1475397422
【陈伟霆X张继科】恋爱循环,明星,1,23421,392,205,588,147,108,23,酥糖土豆,33821804,1475397712
黑刺出品《荒野大镖客 救赎》05年度版专家难度中文字幕攻略向解说,单机游戏,1,435,0,9,6,19,1,4,黑刺_,5929074,1475397723
羞耻向ppap不要点进来！,搞笑,1,5156,10,33,15,35,4,0,啊呦咖喱,24161770,1475397772
【激萌布偶】与Teemo的再见与分别 (ㄒoㄒ)/~~,喵星人,1,309,10,10,3,8,7,1,饿了就变身的海德博士,9061914,1475397778
【for】老年选手的日常DJ生活,电子竞技,1,97,1,10,4,24,7,1,forforforget,678458,1475397597
ckkert!MirrorMoon EP(镜月EP）这是我玩过最难最奇幻的太空解密超现实游戏,单机游戏,1,163,0,4,4,6,8,2,Cokert,16062769,1475397842
 阳光艺体能06-游泳篇-Henry刘宪华 cut,综艺,1,6850,179,5,96,3,14,40,VIVIAN143,38731490,1475397501
当镜音【react】遇上【flower dance】,音乐综合,1,274,8,3,6,2,10,0,生吃丽塔,29106806,1475397778
