title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
CHICKEN VS PUBLIC - JANOSKIANS,搞笑,2,46,2,0,0,0,4,0,janoskiansian,7175731,1475926820
【野中蓝】RARIRURE~EVERYBODY~（第57回）（161007）,官方延伸,2,179,1,1,2,1,5,0,RabbitC,47653,1475926790
【DEV】【恐怖游戏也能卡关】Layers of Fear 层层恐惧 (Part 3),单机游戏,1,64,1,1,1,2,7,0,Devenge,2898054,1475926840
【奋斗的小斤斤】word姐~超好用唇釉色号推荐,美妆,1,1354,3,3,20,2,6,1,快美妆,17302311,1475926832
2016年【十月电影】【最新预告】精选,影视剪辑,2,333,1,1,4,0,2,0,南韶nanshao,37960173,1475927025
【钤离】最爱的摸头杀22_1cut,影视剪辑,1,1384,32,9,61,10,11,29,甜摩卡,19412173,1475926929
【You're the Worst/我爱上的人是奇葩】Jimmy·Gretchen   I Run to You,影视剪辑,2,5532,11,11,106,44,26,30,白毛发胶手祖传磁力背,2786616,1475926768
【无限循环向】PPAP梁非凡艹你屎啦啵嘴艹！进来就出不去了！,鬼畜调教,1,17509,39,48,119,45,60,26,最骚的虹虹,19742879,1475926752
【我尽力了字幕组】爱尔兰人民第一次看J-POP的反应,综艺,2,1078,11,2,5,3,3,1,min518,26963031,1475927032
明望—漂洋过海来看你,明星,1,1093,8,6,16,7,9,0,文子3507,45977002,1475927118
「怀旧」Apple  The new iPad（3代）,手机平板,2,1570,3,10,25,5,3,8,Apple资讯集,13234137,1475927079
【张馨予cut】车在囧途/伊容,影视剪辑,1,1229,0,1,20,4,5,6,将军在府上,8414979,1475927000
天海佑希 三星主厨 企划  2016.10.6,美食记录,2,10085,70,17,152,17,36,20,群青加普蓝,10731532,1475927066
Second Shaper - Deathless,网络游戏,2,1133,0,0,2,0,5,1,lucifering,13821305,1475926936
【手牵手，一路到尽头】锻玉《ICO（古堡迷踪）》攻略解说【3】PS2中文版,单机游戏,1,459,7,2,3,9,16,9,锻玉,34576330,1475927185
【大宝剑联盟】作死大前辈hikakin 往鼻子喷超臭的屁屁喷雾 结果…,搞笑,2,15999,208,75,73,53,30,1,大宝剑联盟,429251,1475927139
蠢萌妹子练神功！你的世界我们永远无法理解,搞笑,1,127,0,0,1,0,6,0,六秒笑喷,39785196,1475927157
【葛平 元首】小幸运,人力VOCALOID,1,86863,776,285,1202,1342,376,43,昔日友人,1706344,1475927100
【李易峰×赵丽颖】【美好祝愿】让我们见证一场婚礼This Promise【非真实】,明星,1,72883,1958,399,2045,1043,361,313,时光冰冰凉,47647024,1475927022
大师 操作英雄秀  蒙太奇 -联盟的传奇 (SoloMiD),电子竞技,2,1377,12,11,8,2,8,0,飞起来的小Y,18314213,1475927063
[香港經典回憶]八十年代廣告 McDonald's 麥當勞 (早晨全餐)(1985),日常,2,4138,0,13,51,1,20,5,蓝轩光的萤火虫,926157,1475926848
十分钟学画动漫人物--小猪皮杰,绘画,1,38153,6,246,184,34,56,87,秦似君,21964648,1475927182
球鞋脏了不用怕，两招妙招来洗它,日常,1,6327,50,6,128,20,16,12,闪匡文化,31597254,1475927032
何祚欢湖北评书洗脸,搞笑,2,1918,3,12,16,6,35,19,柯南道尔,1853861,1475927171
英雄时刻,网络游戏,1,15,0,0,1,0,1,0,虎牙凌一风,4560269,1475927116
好军团不送攻击,网络游戏,1,19,0,1,1,1,0,0,Karen丶丶,11566738,1475927162
何祚欢湖北评书徐庶夸说诸葛亮,搞笑,2,1466,0,3,28,7,18,12,柯南道尔,1853861,1475927087
【RapitorLP】I Wanna Touch The Captain,单机游戏,2,103,0,0,2,0,10,1,你谁啊嗷,925984,1475927173
2016中国青少年公开赛U15女单决赛（中国石洵瑶3-0中国高宇慧）,运动,2,247,0,3,2,3,4,0,不及风与诗,46716748,1475926872
[香港經典回憶]八十年代廣告 Cathay Pacific 國泰航空 (翱翔萬里 神采飛揚)（1985）,日常,2,1218,7,1,19,1,7,5,蓝轩光的萤火虫,926157,1475927125
【黄子韬】【BeatsbyDre】不要标准答案！#戴我去听# 黄子韬的特立独行  正片+花絮,明星,1,6722,222,86,218,215,35,15,LUNCHBOX_黄子韬资源博,15475038,1475926771
陰陽師——非酋的活动抽卡,网络游戏,1,79,0,0,1,0,1,0,忠犬樂卐,2432626,1475926869
《夜的钢琴曲三》一日一首好听歌，千万不能错过哦！,音乐综合,1,493,2,0,18,9,15,11,银河系里の外星人,1706796,1475926906
【洛天依x乐正绫】挪威的森林 翻唱【PV付 工程附】A72,VOCALOID·UTAU,1,2882,31,35,54,39,18,17,萌萌的A72_P,11752973,1475926851
gamesprout游戏有趣时刻Computer Says No - Games Are Weird 185,单机游戏,2,479,6,0,2,2,4,0,UncleSino,12510940,1475926753
菜鸡小受打LOL第十期,电子竞技,1,46,0,8,1,12,1,0,四月の花名CL,24618120,1475926898
「怀旧」Apple  iPad mini宣传片,手机平板,2,2827,5,4,61,3,8,17,Apple资讯集,13234137,1475926881
