title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
《淘金记》卓别林用面包跳舞这姿态是如此的陶醉,影视剪辑,2,4209,18,6,117,10,74,16,看娜云看娜路,46762758,1477880482
"【韩国吃播】弗朗西斯卡吃吐司+p2吃泡面,炒面",美食测评,2,2208,26,3,8,0,5,0,VAL墨鱼丸,4987023,1477880765
【SNH48】20161030 李佳恩口袋直播 逗逼+n看直播,明星,2,310,1,3,2,1,1,0,z小盒盒盒盒盒,4730803,1477880357
【英国无厘头动画短片】UFO 【Birdbox Studio】,短片,2,2349,6,7,50,3,20,14,尊敬的小山羊先生,766055,1477880415
161030 BOF 釜山音乐节 女团部分合集,明星,2,5568,156,31,114,8,13,1,不胜寒,12077992,1477880635
盘点那些国外的意外事故,搞笑,2,722,48,5,6,3,7,1,深井烈阳,18045348,1477881001
凯里欧文和球迷单挑集锦  Best of Kyrie Irving playing 1 on 1 vs Fans!,运动,2,18455,31,9,139,12,31,7,俞心池tube,2672502,1477880478
冰冷解说：阴阳师黑科技01 “一拳超人”阵容详解,手机游戏,1,80796,1030,454,578,764,279,8,冰冷之海,742470,1477880671
【LOVERED搬运】ASMR 轻松小哥 涂刷小纸盒的声音 来自easyASMR,其他,2,333,2,9,28,4,4,1,LOVERED草莓,13555363,1477880682
白Max日常-这天冷还不来暖气,喵星人,1,274,4,2,0,1,1,0,嘚嘚喵星人,6567334,1477880628
【光头课堂】什么是脂肪肝？你Get到了吗？,科学科普,1,875,0,0,20,0,20,1,光头视界,26129316,1477880620
[生肉]161030 香蕉人的难得美食【广濑爱丽丝】,综艺,2,782,0,2,11,5,8,0,武田Mayu,8739849,1477880510
【奈叶MAD】魔法少女奈叶 Blade【心剑辉勇】,MAD·AMV,2,935,0,1,25,8,3,12,我に断てぬものは无し,518771,1477880658
【光美MAD】Lovely 28号,MAD·AMV,2,548,1,0,10,0,14,7,我に断てぬものは无し,518771,1477880391
【复联群像】左手漫威，右手古风，啪，一拍即合,影视剪辑,1,1089,35,5,41,23,4,1,无事过这一生,4685401,1477880455
【炉石】3血对50血极限翻盘---10月29日直播集锦,电子竞技,1,2377,32,10,2,18,2,0,xj萧索,16002156,1477880480
Clyde Carson Ft. The Team - Slow Down 中英字幕 [OURDEN],音乐综合,2,66,0,0,2,0,5,1,早睡晚起的老湿,3616035,1477881011
Lil Durk - Don't Understand Me 中英字幕 [OURDEN],音乐综合,2,71,0,0,2,0,9,1,早睡晚起的老湿,3616035,1477880728
【狐狸精】黑白看守所   十五  双六一,综合,1,2034,53,16,46,23,14,21,折一支零花,39060230,1477880895
2Pac - Do For Love 中英字幕 [OURDEN],音乐综合,2,333,2,0,14,4,9,3,早睡晚起的老湿,3616035,1477880441
