title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
Instreet  韩国女团Lovelyz 我的脸盲症又复发了,街舞,2,1242,23,15,17,0,12,0,Instreet-,537313,1468916963
【ASMR】Delirium 啤酒开罐 液体声 泡沫声  无人声,其他,2,263,0,3,6,0,3,0,赤水儿のyong,8434886,1468916972
"[Eric Nam+Vernon崔韩率] Eric Nam - Can't Help Myself,(feat.Vern",明星,1,2213,5,5,114,2,14,4,evil727,20861196,1468917006
保育设施16处，爆破预告邮件.news,其他,2,465,5,9,16,1,7,1,deleted1100,31097310,1468916999
爱剪辑-日语五十音篇-第九课,校园学习,1,977,14,4,65,5,8,1,小美日语之丫丫小分队,19509098,1468916972
吉他入门标准教程后半部分 吉他自学指南 iTan吉他教学_超清,演奏,2,5188,16,11,748,26,68,9,幸せのパン,13167234,1468916996
【回忆杀】【黑历史】韩国众男团出道曲与最新曲大合集,明星,1,68535,11883,364,1898,333,87,215,qingxin1996,25770788,1468917397
【一八|佛八】张嘴来颗糖，谁嗑谁知道；片尾有高能，观看需谨慎。,影视剪辑,1,5444,74,16,190,70,36,6,葛大爷的黄瓜,22734370,1468917401
【毁三观】中单ap蔚，波动拳瞬间爆炸，carry全场，T君奇葩系列第16期,电子竞技,1,2454,161,26,10,11,5,1,会唱歌de辅助T君,16506797,1468917391
内马尔and贝尔全方位比较 谁是足坛最强二当家？,运动,2,4368,127,29,69,17,30,4,Himo朱,1900702,1468917397
【泰民】160716-17 SMT Only One BoA feat Taemin（少年已长成）,明星,2,25855,44,23,510,6,24,27,akchch,14047175,1468917409
【许魏洲】深圳应援视频山东分部（大鱼海棠应援）,综艺,1,186,1,0,3,0,5,1,许魏洲白粥联盟,31529423,1468917855
【欧美群像】一身诗意千寻瀑（3分半看完14对中土HP漫威等CP）,影视杂谈,1,41788,534,134,2530,597,320,387,锦多糖,3001598,1468917878
7月「禁忌咒文」角色message 動画 第6弾,官方延伸,2,867,5,16,19,3,12,0,Taneda_Risa,3098214,1468917868
【声优】阿杰&边江联合秀长沙话,影视剪辑,1,106086,975,200,2328,143,445,311,静焱YX,3343238,1468917856
【哔哔站中字】131123[BANGTAN BOMB] Dancing Machine ohohoh,明星,1,1353,26,3,48,2,8,0,bulletproofboy哔哔站,19330056,1468917864
【GOT7/BTS防弹少年团/ VIXX 】搞基合作舞台没看过系列(吐槽镜头),明星,2,20179,763,58,881,10,74,7,AnnQin1001,12882203,1468918319
我的世界※Minecraft※怪物国度大冒险 Ep.13 吸血装置,单机游戏,2,201,3,0,0,1,6,0,普通的LJF,10674752,1468918346
【电音】Cabu & Akacia - Gold (DRKTMS Remix),电音,1,130,3,1,2,2,3,1,人见人爱段子狗,10450705,1468918322
【MMD/泳装弱音】极乐净土（福利),MMD·3D,1,26821,387,54,2672,528,204,18,星院夜,8494750,1468918319
CS_S_-_bhop_clarity_in_11_16_by_Aki,单机游戏,2,147,0,2,3,1,3,0,天天在学习的小钱,204116,1468918323
【莫言】后宫杯第二届水友赛团队赛直播视角7月15日,电子竞技,1,236,2,5,2,2,6,0,心悸悸,3253645,1468918755
【夏洛克腐尔摩斯】基腐镜头集锦【1-1】你们为什咩不结婚,影视剪辑,1,1495,37,12,56,23,24,6,小咩y,7864404,1468918760
【渣剪】2016国产（部分）动作片混剪,影视剪辑,1,263,0,0,0,0,5,1,爱顶可而,5013695,1468918745
【AMV】属于我天空的奇迹（给我家可可的）,MAD·AMV,1,143,1,0,9,8,2,2,羽之衣丶,8209068,1468919147
【老九门】【启红】甜到掉牙,影视剪辑,1,60939,451,39,1536,142,183,346,V_Amo,12146423,1468919176
【作死君】MC 玄冰的星际求生 8 苦比造家！苦力怕手办！,单机游戏,1,128,0,0,1,0,2,0,缺乏优越感的独异个人,7353544,1468919185
【MLP】小马官方动画短片《雪儿宝宝的亲亲粘画册》之皇家婚礼（中字）,短片·手书·配音,2,14355,145,146,593,81,63,116,风暴终结,17968,1468919187
可怜的猫头鹰,短片,2,1413,6,4,28,3,19,0,月半情残,16081257,1468919137
《300英雄》三笠【巨人是猎物！而我是猎人】,电子竞技,1,375,4,2,0,2,14,0,隐月いんげつ,16852102,1468919660
段子狗日记 58 喜当爹，只需一支烟的时间,国产动画,1,23394,48,12,6,13,7,10,麻辣段子狗,14262144,1468919668
【霹雳】孝文事件剧情粗剪（乱世狂刀X慕容婵）,影视剪辑,1,499,1,1,16,0,6,0,夏冶逆行,1846531,1468919688
小红眼58S黑雾,网络游戏,1,32,0,0,0,0,6,0,高富俊,16127402,1468919676
【CSGO枪乐】Highscore,鬼畜调教,1,1857,41,26,13,13,17,0,BBsinOwO,1685759,1468920401
 【杰米奥利弗】简单的三文鱼寿司|食品街头艺人,美食侦探,2,2924,43,7,59,1,8,0,乱咬人的二黄,3003540,1468920439
封景-情感钢琴,影视剪辑,1,447,2,7,9,1,6,1,在防弹腹肌上游泳,11036713,1468920437
【燃】2016E3大展游戏混剪,单机游戏,1,512,8,1,15,5,8,0,南红枫SRMaple,22489044,1468920439
【CSGO】Shroud 直播精彩时刻,电子竞技,2,435,3,1,4,1,3,0,余忆琳,2245244,1468920413
160717 SMT SHINee Everybody __(Onew) focus,明星,2,1359,13,5,75,3,10,5,为什么不放假,4980385,1468920712
【剑三MMD】成女组-极乐净土（更新3P 丐姐上线！）,MMD·3D,1,138033,2454,245,6022,1091,1847,95,一朵帅狍子,1537725,1468920712
【国服第一船长】（大浪B普朗东）7.18直播部分录像,网络游戏,1,3230,74,20,9,19,7,0,潮留美海Miuna丶,903569,1468920718
【安之峥嵘哥哥】【国内吃播】国产小零食 薯片 卫龙辣条 牛肉干 凤梨酥 旺旺系列等,美食测评,1,79975,3919,323,258,871,114,100,安之峥嵘哥哥,11164567,1468920720
20160718斯雷嘟（嘟嘟）直播 拆礼物 屏录,日常,1,2844,450,21,164,25,27,9,别拦我还能皮,19689766,1468920716
去打球吧     日常-1,运动,1,204,4,2,0,2,6,0,EimMonarch-真南,8141353,1468920715
清洁机器人的生存故事,短片,2,409,3,4,7,3,3,0,月半情残,16081257,1468920724
像张靓颖的员工有一个像汪峰的老板.恐怖游戏《最后一眼》,单机游戏,2,38377,1884,229,245,156,19,358,间月,533575,1468921065
老外亲测北京瘫！英国小哥挑战葛大爷！,搞笑,1,28631,168,24,106,104,37,2,我在山里盖房子,21330745,1468921084
【韩国吃播】奔驰小哥BANZZ之炒鸡炖鸡香肠篇_标清,美食测评,2,4070,43,6,22,2,6,0,幼稚&成熟,22591828,1468921075
【手帐】16年7月的拆包视频 By若涵,手工,1,678,22,15,14,1,4,0,夏若涵,3186056,1468921120
【白菜】逆转裁判2怀旧向流程实况08,单机游戏,1,65,0,1,0,6,1,0,白菜フェザリオン,2495641,1468921106
【RoyMaCa 風藍】紅白曼珠沙歌（自填中文詞翻唱）,翻唱,1,38,47,0,0,0,3,0,RoyMaCa_風藍,2616836,1468921063
【生火腿实况】所有结局【雨鸦】（完结）,单机游戏,1,129,2,3,1,6,2,2,火大腿,12781026,1468921483
血源诅咒剧情探秘#3,单机游戏,1,2659,96,21,27,104,4,21,暮色孤阳,4043947,1468921465
160717 WINNER EXIT TOUR IN 神戶 姜昇润 It Rains,明星,2,501,27,3,29,2,5,3,sugarushing,2352458,1468921475
[熟肉][Museum Monday]第一期：ABBA 的崛起,社科人文,2,180,2,3,6,0,12,2,Name1e5s,11372320,1468921481
【CDCC】BEFORE,日常,1,123,2,2,0,7,4,0,CH3-NO2,10953874,1468921947
从世上最大的跳床跳下去,运动,2,1254,5,2,13,3,15,0,AaronYu1028,34673196,1468921940
隔壁动静太大，有了这利器，不再上火了,社科人文,1,63753,257,165,939,123,129,35,Max创意公元,12177425,1468921964
【鬼牙番外篇】东方绯想天则之妖梦的逆袭（鬼牙玩出不同的妖梦）,单机游戏,1,379,5,2,3,8,2,1,装宽带の鬼牙,20229132,1468921942
【一眼江湖】记过龙（祝姑姑过儿新婚快乐）,影视剪辑,1,1415,2,0,27,5,7,9,苏氏子鸢,11384940,1468922331
iOS 10 Beta 3 - 40+ New Features & Changes Review!,手机平板,2,0,0,0,0,0,2,0,趣搞机,32123873,1468922343
【仓鼠系列】热的融化了,动物综合,1,5119,69,30,22,5,9,0,帅气的沫弦大人,32250567,1468922359
【Cici的吃货日记】黑凉粉奶茶！可以甩着玩的饮品~,美食制作,1,5137,48,28,209,18,25,24,Cici小太阳,35181044,1468922360
【鹿晗】 金钟罩铁布衫 —— 跑男第四季治愈纪念,明星,1,90094,1702,801,4134,2861,845,1171,白鹿為雙,17848920,1468922339
Jack+厂区+最终版+英文小号,野生技术协会,1,524,0,0,2,0,5,0,xiaofei2008gxh,35496433,1468922348
141203 MAMA Tell me what is love TAO FOCUS,明星,2,3391,24,8,162,25,30,55,偶就是一好人,8947113,1468922799
★我的世界★Minecraft《籽岷的模组生存 虚无世界2 第三十八集》,单机游戏,1,26823,563,81,599,103,12,518,籽岷,686127,1468922800
开黑皇家领域二层~,网络游戏,1,170,0,0,0,0,8,0,BJ-PawnDie,8468479,1468922790
【OVERWATCH】【守望先锋】30个有趣时刻（各种玄学）,电子竞技,2,366,6,2,8,1,3,0,東京都交響樂団,8028250,1468922765
【创客星球】触摸粉爆炸演示,野生技术协会,2,154,1,1,11,1,7,0,铁甲格斗社,31177482,1468923251
大魔王个人史十大经典操作秀：这就是Faker_,网络游戏,2,9608,58,9,89,7,36,0,蓝白胖次惹人爱,20930522,1468923228
【高同步】为什么我看的Re: 从零OP跟你们不一样,综合,1,13068,339,120,533,646,197,70,_零零君,2885681,1468923234
村姑农妇装也可以很性感 | 江南水乡夏日复古农妇装,服饰,1,1656,21,12,0,2,3,2,董买买,20394398,1468923232
【HTCVIVE游戏实况】 炒鸡刺激的究极旋转器,单机游戏,1,496,1,2,4,4,4,2,艾斯达尔,3813000,1468923667
【TED出品】天梯非主流开心游45  来自对手的神级嘲讽,网络游戏,2,2403,60,7,3,9,2,12,雪の人形,190905,1468923661
拯救反派计划  暴君调教史,单机游戏,1,2559,215,2,53,15,7,12,拉拉还没想好名字,32920683,1468923670
2016-07-16 萌兰庆小喝盆盆奶,大熊猫,2,4405,39,4,46,6,13,0,雅竹_,7904663,1468923694
wu机爆08期—老婆应不应该在床上吃东西,搞笑,1,108,1,0,0,2,5,0,wu机爆,32990631,1468923656
【广播生肉】爽快！疾走！Radio！「CLOSERS」第20回（嘉宾：东山奈央）,官方延伸,2,236,0,3,10,0,6,0,莲见时雨,735947,1468924088
【旮旯小厨】创意菜--培根蘑菇酱配土豆丝卷饼,美食制作,1,578,1,4,25,3,6,0,旮旯小厨的大王,33541086,1468924125
【KinKi Kids】[贺7.21]那年那Con那高能的MC 第一弹,明星,1,40976,2305,42,3464,475,151,214,Winjer,7780344,1468924112
NOC梦魇依旧强,电子竞技,1,174,0,1,0,4,2,0,风见小丑,1271924,1468924123
【纯爱女主混剪】就连你的叹息，我也要将它变成春风。,影视剪辑,1,824,4,4,31,7,8,0,NANDE__,4747634,1468924445
[残影攻略解说]-《镜之边缘催化剂主线攻略ep4-噩耗来袭》,单机游戏,1,141,0,1,0,6,6,0,叫我残影,14174983,1468924462
欧尼酱,综合,1,364,2,4,8,3,5,0,辣条丶掌门人,31312792,1468924443
【怀旧向】【回忆杀】90-00年代一些经典电视剧的片头（or尾）曲,影视剪辑,1,3486,79,5,75,11,18,0,元白C,27177611,1468924874
introduction-King Krule,音乐综合,2,61,0,0,3,1,4,0,青蛙小夹,13104914,1468924887
中美俄三国2016年军事实力比较,社科人文,2,0,0,0,0,0,3,0,懒丶蛋,1610806,1468924871
使命召唤5-战火世界 僵尸模式 MOD图 水下基地Leviathan 宣传片,单机游戏,2,553,0,2,10,1,10,2,织田QJ,156710,1468925296
疏离《INSIDE》攻略解说 隐藏结局 谜一样的结局,单机游戏,1,202,5,0,1,3,8,0,喝早茶的疏离,8963326,1468925272
【MMD】 Lupin 【Nanoko】,MMD·3D,2,694,2,2,30,2,2,2,萝莉控9,5622460,1468925696
【短道王濛】个性王濛,综艺,2,1109,10,1,50,1,13,8,柠濛味小熊,25699626,1468925731
罗志祥之神经病的日常,明星,1,2567,52,23,111,26,23,20,来科甲密该,6529744,1468925736
Don't even say nothing to me boy! You look like a mf UHHHH V,搞笑,2,382,2,2,9,2,6,3,別傻啦你,7081639,1468925733
【短片】搬家再搬家2：还记得我的故事 ReMoved 2: Remember My Story【生肉】,短片,2,684,88,3,35,1,20,1,僧活家_MonkModeMan,13427546,1468925696
【潜浅实况】浮士德的噩梦 Fausts Alptraum ep3我是没有智商的仓鼠！我骄傲了吗?,单机游戏,1,50,2,0,0,2,1,1,暮子潜浅MZQQ,26273241,1468927068
【威君的模型制作过程】青岛社1：12 川崎900制作全记录,手办·模玩,1,2230,36,5,47,21,18,18,爱记录的威君,15589012,1468927083
【ASMR】Luz 键盘打字 鼠标点击  无人声,其他,2,1153,3,6,23,1,15,1,赤水儿のyong,8434886,1468927071
【SUSURU TV】How to slurp Ramen with style 如何正确的吃日本拉面,美食侦探,2,2897,49,5,27,0,13,2,annipeach,10845658,1468927096
【小怪兽】大眼睛，瓜子脸，细长腿,科学科普,1,1506,37,55,8,24,6,3,翼天鱼,31782714,1468927537
【第13届广州萤火虫】lovelive-----告白日和！,宅舞,2,1692,18,16,2,0,6,0,kmve,1476351,1468927550
【噗咚】猫咪之歌,翻唱,1,9893,245,176,531,357,122,21,噗咚酱,2539645,1468927543
{倾枫}国人制作恐怖解密向游戏灰烬之棺第一期,单机游戏,1,187,19,4,1,2,5,2,倾枫丶,19033126,1468927952
【apink】2015pink island 二巡演唱会全场DVD,明星,1,21026,601,27,1250,113,31,131,j_hope_chocolate,9781489,1468927966
[艾尔之光国服]龙傲天IS小弟 in 6X,网络游戏,2,2770,71,43,20,11,17,0,akisimon,423873,1468928017
【可卿】板绘萌新的电玩女神厄运,绘画,1,144,3,3,3,7,12,1,素手可卿,2034937,1468927999
【SEVENTEEN】燃烧的练歌房-这就是爱 by.ZICO（S.Coups/胜宽）,明星,2,6222,122,19,95,4,12,8,本质恶霸,839665,1468928022
【短道王濛】[人在温哥华]温哥华冬奥会：王濛、周洋双星闪耀,运动,2,4206,11,1,79,5,3,15,柠濛味小熊,25699626,1468927983
【AAA】Birthday Song HB to 本尼,翻唱,1,228,2,1,4,0,4,1,墨弦风,6801486,1468928000
【每天学日语】零基础秒变日语大神,校园学习,1,960,12,5,32,1,7,1,喵星人日语,6535103,1468928463
刀剑神域：无限瞬间第一层《这游戏想用光亮来杀人吗》,单机游戏,1,326,1,1,1,4,11,4,炮姐VS上条,4905845,1468928486
【MLP】TOP 11 2016年5月份 被低估的brony音乐,综合,2,278,0,5,11,3,0,0,明列子女仆,576281,1468928482
Emma Watson 介绍2015妇女节伦敦活动 中英字幕,明星,2,5336,14,8,241,23,34,25,薏苡糖水,14264656,1468928452
【听歌向】听了之后就开始撕作业 第132期,音乐综合,1,1492,29,54,38,55,4,3,火舞无泪,1812746,1468928465
柠乐实况《弹丸论破》EP6.5 裙子底下有东西也挺好,单机游戏,1,118,2,1,3,2,2,0,LemonColaLC,9314643,1468928470
有趣片段,影视剪辑,1,88,1,1,0,0,2,1,白轩墨染,22856927,1468928483
[OW]守望史诗时刻 第19期：天使的救世大招,网络游戏,1,357,4,2,3,2,3,0,Gosu高手,12348284,1468928851
7个吃货必备的技能—ExpCaseros（熟肉）,日常,2,375,3,2,12,1,8,0,努力变得优秀一点,28104030,1468928847
【虚拟钢琴】（俺妹op）irony,演奏,1,540,1,3,13,13,12,7,尘阳poi酱,26196298,1468928859
战舰少女R 同人文《左舷的风》宣传视频,日常,1,1080,24,29,18,32,14,1,SLY-0v0,24132461,1468928866
【DADDOA】Etude House X Wedding Peach染发喷雾,美妆,2,15890,206,17,227,4,46,4,恩慧慧,358231,1468928859
PS3/PS4『女神异闻录5』开场动画,单机游戏,2,46529,1539,73,1314,131,570,151,ldj7,136001,1468928865
 当韩国男团碰上我们的童年神曲 合集(持更到第四集),明星,1,6739,1051,53,354,72,109,3,woaiasn,10981365,1468928866
少女奇谈【已完结】姐姐再爱我一次和勇者的大冒险？！,单机游戏,1,200,19,5,4,14,7,1,SCB阿锤,4958505,1468929250
【GFriend】女友主打《NAVILLERA》练习室版,明星舞蹈,2,10125,106,14,289,20,88,10,無结局的等待,13380086,1468929249
这一定是世界上最淡定的猫头鹰,野生动物,2,4123,33,13,63,4,14,3,梦变鲲鹏振长空,5510267,1468929241
【TVB粤语】哆啦A梦2016 第三集,综合,2,3288,24,3,71,8,17,3,ALANTAM4,7136932,1468929264
［这里是土澳］澳洲留学日记 第二期,日常,1,1199,61,14,8,21,11,3,过期伦仔,11203394,1468929257
Dota 2 欢乐时间 78期,网络游戏,2,5046,12,10,6,3,16,0,洒瓦迪卡-,34756746,1468929253
【原创】滚滚红尘,影视剪辑,1,2557,10,1,49,9,34,13,白云在青天,12259613,1468929251
同年出道的女团主打历程大盘点（12.13女团）下,明星,1,2626,506,12,47,5,4,1,Aileen_89,15883460,1468929741
【SPN】【Sam】【修复】Breathe Me#AKF#,影视剪辑,1,641,30,13,84,37,22,14,Atwhalayw,1841855,1468929731
