title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
萌新桐人的犯蠢之旅,电子竞技,1,49,1,2,0,3,2,0,白樰霖澜,8897847,1472630097
【NGA守望先锋区】Rogue战队Reinforce PTR 莱茵哈特@伊利奥斯,电子竞技,2,250,25,1,3,0,2,0,NGA守望先锋区,8004440,1472630234
Galaxy Note7指纹识别演示，对比S7 Edge提升明显,手机平板,1,1579,9,8,1,3,13,0,金毛评测犬,26475857,1472630372
多田愛佳 8.31 Instagram,明星,2,137,0,3,1,0,7,0,你的湿湿,4973201,1472630045
超强遮瑕术！和过敏爆深黑眼圈说再见,美妆,2,10748,166,67,783,43,52,3,SXXXXXYM,25517937,1472630221
那些我们无缘体验的校园生活 网络电影风向标25集,搞笑,1,854,7,2,0,3,3,1,司文痞子工作室,21406393,1472630178
【S風暴】HD中文電影預告,影视剪辑,2,263,1,0,0,1,6,0,Aiyaya王仙,14120372,1472630166
【星阑】一起来记起我们共同的回忆《我们的回忆》by回忆制作组,单机游戏,1,137,0,3,1,6,10,3,明天丶星阑,37726602,1472630168
请试着不要在此视频里笑，八月最后一期,搞笑,2,12209,137,32,163,15,44,0,小A与小L,813617,1472630454
罗胖不下台，锤子起不来！,综艺,1,506,0,1,3,0,2,1,撕袜财经,33910508,1472630307
地狱边境,单机游戏,1,141,11,20,5,10,14,0,好吃不过蒸饺,2908059,1472630362
蓝澈《圣安地列斯》第八期 视频攻略解说,单机游戏,1,2045,98,18,12,37,8,10,_蓝澈_,2724575,1472630359
【守望先锋】Sombra彩蛋(解密進度66.6666%),电子竞技,2,20489,191,147,292,66,185,6,全国人民大团结,14345156,1472630187
【游戏英雄】盘点游戏中的老蛇魔,电子竞技,1,300,5,6,0,0,9,0,王者短视频,28868540,1472630267
[TAS]6B6 ——Crimson needle 2 final boss,单机游戏,1,501,2,43,7,1,3,0,-NIHIL-,6631803,1472630363
这嘴炮我服 已经一年多过去了,影视剪辑,1,1565,35,43,23,54,13,1,莫寒冲鸭,19791224,1472630450
龙老师讲盘,财经,1,41,0,0,0,0,4,0,lyj_zero,35782855,1472630176
【KOx美人师兄】【17集06】KO的工资打到郝眉卡上,影视剪辑,1,276581,431,108,1613,86,113,2877,郑业成资讯站,13731851,1472630335
入伙-他们借着旅行的名义，在外整整吃了11年！,美食侦探,1,157,1,1,1,2,5,0,入伙-JOINUS,38717537,1472630263
栗子树牌恋爱捉迷藏（张怡X刘胜男）,明星,2,691,2,1,8,0,6,1,逐风的鱼,1444557,1472630056
【Hiddie】秋季粉红眼妆教学 Fall Pink Eye Makeup Tutorial,美妆,2,1918,25,1,49,3,6,3,germanottagaga,25619409,1472630128
 《九州搅基城》9上：国师催眠术拐走02；三老发现花神托身出现；污黄叫大胖他们晚上一起；保洁小妹出现冰雪女王潜质,影视剪辑,1,4166,97,52,36,27,11,7,彩虹台台长,266136,1472630150
 Tiffany丨First - Fancam 2008.Compilation,明星,1,177,1,1,24,4,10,2,檸謝里,37624047,1472630386
刺客列传-【入阵曲】,影视剪辑,1,855,7,11,27,14,12,7,一朵宅菊花,39846442,1472630263
无主之地2一周目34级刺客与小伙伴愉快的秒魔虫,单机游戏,1,707,7,12,2,4,12,1,QB菜又菜,3049885,1472630199
【NCT DREAM】Chewing Gum - DANCE COVER 搬运3则,明星,2,1351,2,2,6,0,8,2,就是爱鸡腿,15048475,1472630237
【油管搬运】生活向~学切瓜，做一名合格的吃瓜群众,美食制作,2,8340,143,36,148,11,16,1,狴狸祠下哔哩哩,34867323,1472630373
【GNZ48】【张凯祺】2016年微博秒拍视频合辑,明星,2,539,36,4,8,16,1,1,GNZ48-张凯祺应援会,38292890,1472630318
【黑子的篮球】奇迹黑MAD Delete My Memories,MAD·AMV,1,1379,25,19,70,30,4,28,QuickAce,4182588,1472630419
Anima 6k~by麒麟脚,音游,2,62,0,0,0,0,2,0,织田乱步,20208006,1472630420
【翻滚之魂3】，罗斯里克初体验,网络游戏,1,100,20,0,0,4,4,0,菜姬蒸鹅心,17203071,1472630423
Vanessa Hudgens for Bongo- Spring 2015,风尚标,2,749,0,2,12,2,7,4,影像物语,16051719,1472630450
【架子鼓】Matt McGuire演奏Emotional-Flux Pavilion（Virtual Riot Remi,演奏,2,2037,16,3,67,7,18,2,GenesisJ,19233881,1472630251
【神威CAMUI】L'arc~en~Ciel 瞳之住人,翻唱,1,1710,20,16,26,70,15,31,神威CAMUI,7757456,1472630276
美媒：中俄研发机器人武器或造出现实版“终结者”[流畅],社科人文,2,4796,61,38,38,2,14,0,明月守望者,17119710,1472630222
【GUMI Whisper】你也是坏人，真是太好了【自調教cover】,VOCALOID·UTAU,1,1145,29,40,127,67,17,16,北野ナニ_Nani,6089323,1472630369
九个被你忘掉的有毒油管视频 @柚子木字幕组,搞笑,2,114266,763,267,1322,71,35,14,柚子木字幕组,221648,1472630344
Mrfilm电影先生作品-艾睿克美丽事业云南发布会,短片,1,15,0,0,0,0,1,0,电影先生微电影工作室,39762718,1472630167
【暴好异思】 《疯狂动物园》  持久力的对决 第一集,单机游戏,1,569,0,1,2,2,6,2,国漫迷阿七,39715498,1472630272
【Haku唯美励志】泪向，唯美，励志，勿忘初心，与君共勉,MMD·3D,1,420,6,7,26,6,11,0,USMCPLASF,39122166,1472630264
Jaclyn Hill | 平价返校妆容教程,美妆,2,415,2,3,5,0,6,0,lilyshao,11586810,1472630788
【枪声音乐】守望净土,鬼畜调教,1,3250,23,12,22,17,13,2,有颜值的咸鱼君,8878641,1472630798
kiwi舞蹈工作室第一期周末爵士舞教练班学员蜕变之旅,街舞,1,906,3,1,5,2,4,0,长沙KIWI舞蹈工作室,26082274,1472630822
【不可抗力】瑞文广州见面会《不再见》,明星,1,1567,12,3,42,8,16,24,Susie2618,4080583,1472630959
"[钻石排位实况]逆风carry型虚空行者-卡萨丁秒杀AD,拯救瓜皮队友!",电子竞技,1,354,5,7,1,2,6,0,牛逼牛逼666666,16171632,1472630859
《交响少年梦》：学霸也疯狂，作业做不完也得先玩它过瘾,日常,1,172,1,0,0,0,13,0,YesAt,28865793,1472630981
【NGA守望先锋区】EnVy战队Cocco PTR 猎空路霸@沃斯卡亚工业,电子竞技,2,384,18,2,3,0,2,0,NGA守望先锋区,8004440,1472630840
【突发奇想】随便做个视频玩玩,综合,1,56,0,0,1,0,13,0,ACG丶Clannad,12716718,1472630828
【ArmenianBarbie】【Collection】时尚鞋子集合,服饰,2,7634,28,1,233,7,21,26,Prrety_Chen,35177742,1472630824
8月31日龙珠音乐——独立音乐人崔龙阳《为你写的歌》,音乐综合,2,49,0,0,0,0,2,0,274406770,36188730,1472631132
没基佬开我裤链我也要拔剑,电子竞技,1,113,1,0,1,0,0,0,吾乃大浮云,543609,1472630963
【古风手写】岁月成碑,野生技术协会,1,1919,11,15,33,39,14,1,羽小飞飞,10204114,1472630937
2016最强盲僧精彩锦集#3,电子竞技,2,484,3,7,0,1,1,0,小熊在我这里,7929079,1472631159
【校园混剪】花样青春,影视剪辑,1,2084,11,3,24,4,11,0,莫问大大,39823562,1472630946
【唐人街】火柴人版一拳超人？爽！【一击必杀】,单机游戏,1,1144,6,9,7,6,12,0,唐人街SUN,427114,1472630993
【Hiddie】泰国化妆品买买买 2016 Bangkok Beauty Hauls,美妆,2,4660,76,3,68,1,10,3,germanottagaga,25619409,1472630950
