title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
南极熊最新版 三弟画饼机测评,野生技术协会,1,15886,331,571,100,71,30,126,南极熊3D打印网,32745413,1466149662
【仁王】6min新实机试玩（E3期间）,单机游戏,2,3192,56,46,7,5,9,0,听故事的伊君,1557849,1466149697
【mugen】第二届兔子杯男女对抗赛（凶上-狂中）28P 自古枪兵幸运E,Mugen,1,2852,219,40,25,72,12,0,月斗铃仙兔,1737922,1466149738
【短片实况】Dear Mariko【黑猫白鈴】【完结+暂停福利】,单机游戏,1,120,47,4,2,10,3,0,黒白の猫,711154,1466149771
一刻 | 童画小巫：带你的孩子做画家！,职业职场,1,199,1,3,7,1,10,0,一刻talks,10360784,1466149716
【SF5】大贯大贯！对战各路强者 精彩合辑！,单机游戏,2,483,11,1,8,3,5,0,Bili_47576,47576,1466149699
【空虚】妖精剑士F（5）,单机游戏,1,170,1,2,6,1,5,0,空虚酱丶,7338510,1466149743
浮生3,影视剪辑,1,836,4,13,5,0,10,5,神恋侑,12248235,1466149670
01 [2K] 视频 看你显示屏硬还是我视频硬 （Madagascar）,手机平板,2,2676,56,12,67,8,19,4,杯茗,1268520,1466149760
FATE-victory,MAD·AMV,1,849,4,2,11,10,3,5,白是白桃乌龙的白,14983190,1466149742
月亮之上（快新版）,音乐综合,1,742,25,6,9,9,11,3,漆雕青烛,32752140,1466149832
使命召唤9黑色行动2系列之 我的独弹头能跟狙对刚~,单机游戏,1,177,0,0,3,0,4,0,菲尔丶喵,3167052,1466149863
水密码冰川矿泉系列升级发布会花絮,日常,1,212,0,0,1,0,12,0,dorris呀,32752719,1466149803
【MAD/多漫/燃】我的阿三神曲不可能这么燃,MAD·AMV,1,4526,64,54,79,27,8,2,NZ映画-魂,11731607,1466149908
【W】mbc水木剧《W-两个世界》韩孝周个人花絮采访【中字】,预告 资讯,2,5487,17,2,52,5,10,9,浅歌Yotina,1343648,1466149870
【ChinAOMG】朴宰范 舞蹈室ver & freestyle dance合集,明星,2,1970,8,4,139,15,7,0,ChinAOMGChineseFanSite,32438360,1466149876
 EXO一连两晚香港开场 高清,明星,2,435,2,3,6,0,4,1,陌上花开llq,22167674,1466149875
marry you+求婚——wedding boys,明星,1,1357,0,2,10,0,1,3,Sharon941113,19681316,1466149908
越剧【蝴蝶梦】-王志萍 丁小蛙,日常,2,1499,5,3,51,2,20,7,山楂戲,15201476,1466149901
超女CP乱炖第二期,明星,2,13760,92,19,141,9,37,18,拉话志,14768888,1466149883
【剑网三】萌动江湖,音乐综合,1,4186,68,10,108,35,20,12,東方の神祀,14330807,1466149885
【七幕人生】百老汇音乐剧《我，堂吉诃德》中文版宣传片（30秒）,音乐综合,1,5941,3,4,74,13,47,11,七幕人生sevenages,23162725,1466149896
如何制作最可爱的独角兽杯子蛋糕,美食制作,2,0,0,0,1,0,0,0,aooooaoooo,13208998,1466149849
【SZX】深圳公交M203线行车视频(动物园方向)泥岗西>动物园,动物综合,1,1262,1,10,5,7,15,2,yhaoo101,2920526,1466149942
