title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
IA Expedition video training,日常,2,155,12,11,4,6,6,0,PedroLiu,1896807,1477225248
着同样是一期已经放弃重置的森林多人生存实况,单机游戏,1,32,0,0,1,0,3,0,史蒂夫格里尔斯,26335876,1477225329
【蘑菇】这是一个伤感的治愈系游戏,单机游戏,1,176,4,1,1,7,3,0,白默北or蘑菇,35130926,1477225227
[老E 录播] 10.19晚上 战争是残酷的,单机游戏,1,33698,343,258,178,315,20,21,EdmundDZhang录制组,39865998,1477225248
柴中日常剪辑,日常,1,557,9,6,6,16,18,7,一只野生DUCK,16115444,1477225271
天津南开中学2016運動會的一些摄影,日常,1,979,7,9,12,7,6,5,HirateMikoto,11440853,1477225310
【小提琴】PPAP，啥？小提琴也能唱PPAP?【易大师】,演奏,1,12811,124,170,288,288,137,8,风华易大师,1429526,1477225367
white五五开10月23日直播和飞飞solo盲僧,网络游戏,1,31270,64,10,87,11,18,36,吕子乔字小布,8182310,1477225377
【最终幻想14】FF14 亚历山大机工城零式11层天动篇 A11S 诗人,网络游戏,1,1044,1,10,3,6,14,0,Klaire_,8738715,1477225151
【使命召唤13】beta测试实录,单机游戏,1,135,0,0,0,4,4,0,Twilight薄暮,725011,1477225378
（圣）2.30-Attacker DOTA2 船长 海军上将 第一视角,电子竞技,2,250,13,1,4,1,6,0,ATMHRC,30976514,1477225384
【落雪飞花BZ】More Than Passers-by（《萍聚》英译版）,翻唱,1,236,0,7,3,6,11,2,落雪飞花BZ,25512890,1477225387
第11講-正義：一場思辨之旅-Michael Sandel（哈佛大學公開課）,野生技术协会,2,285,0,0,50,2,3,0,鶄鵼,19797214,1477225413
【王俊凯】他的睫毛,明星,1,3090,20,3,129,23,17,24,小朋友我答应你啊,10923067,1477225398
第12講-正義：一場思辨之旅-Michael Sandel(哈佛大學公開課）,野生技术协会,2,421,3,2,57,4,16,2,鶄鵼,19797214,1477225418
【阴阳师】向暖：非酋成就获得抽点卡再抽上期妖刀,手机游戏,1,17388,318,624,75,70,25,1,-解说向暖,11270783,1477225445
（坑）1.82-Miracle DOTA2 小小 山岭巨人 第一视角,电子竞技,2,270,8,3,0,0,6,0,ATMHRC,30976514,1477225434
薛之谦奶奶灰龙虾装 深情演绎催泪版《小孩》,音乐综合,2,2015,72,3,50,3,11,1,薛暖暖_,49916281,1477225408
TeenTop-瞌睡C.A.P,明星,1,781,13,4,16,4,2,5,Swagger敦敦,31026421,1477225431
【金所炫】20150213金所炫中学毕业（超级无敌美）,明星,2,2681,7,2,32,0,1,12,SPOTLIGHT_金所炫资源博,34720163,1477225412
【聊天】Journey 中秋节最喜欢的食物,日常,2,139,0,0,7,1,5,2,赤水儿のyong,8434886,1477225440
王的挑食【朝三暮四？】日常：啊美味！,野生动物,1,444,16,8,3,3,4,0,伸缩自如我,9664563,1477225487
万圣节DIY我要去格兰芬多上学啦！！part 1 衬衫篇 丨 CC的缝纫向非教程,服饰,1,17900,264,83,690,288,52,85,ISAYLCC,4907794,1477225509
《植物大战僵尸2》官方直播 10-23上午（上）,单机游戏,1,839,1,1,4,4,8,2,PopCap_柠小檬,50897460,1477225453
【吃货木下倒放】制造无花果蛋糕,美食测评,2,9743,112,21,20,3,77,7,合一酱,21872284,1477225490
可爱的大熊猫,大熊猫,1,188,4,1,1,0,2,1,卍骨傲天卐,22453343,1477225507
【失忆解说】球球大作战的各种怂日常，，，,手机游戏,1,116,2,8,0,2,1,0,迷失忆,9900034,1477225469
爱剪辑-6+3红眼擎天猪C第一视角,网络游戏,1,887,1,0,1,0,5,0,神崎月sama,14728931,1477225515
元邪皇会群侠《烽火狼烟》——【已修版】,影视剪辑,1,2310,10,4,29,11,21,7,筠篁子康,10097389,1477225556
【 Mercdesz Csampai】2015 Moscow The Phantom of The Opera  Thi,音乐综合,2,1092,46,15,76,8,11,8,白石山麟,766957,1477225719
【猫殿酱】【熟肉】借助cola罐做猫咪饼干,美食制作,2,3742,38,14,69,15,14,2,per-10_f,3984904,1477225720
为早餐发愁？来一碗思慕昔碗！ Smoothie Bowl,美食制作,1,918,4,6,34,2,8,1,andyknighthphp,32983402,1477225712
 【草莓音乐节】【天津】【舌头乐队】观众都high了，孤陋寡闻的我有点懵逼。。。,日常,1,648,3,3,2,3,6,0,项元歌,7652586,1477225776
[木下佑香]10月23日直播完整版，中华料理专场（生肉）,美食测评,2,6122,83,14,29,9,2,3,草莓坏坏,26262275,1477225765
7.19好男风云下 好男风尚奖 kimi乔任梁 井柏然付辛博等,明星,2,829,23,0,22,0,18,2,maybe120,51155522,1477225811
【INFINITE】2013 INFINITE 10 Days JAPAN STORY,明星,2,478,8,0,59,0,14,3,圆松Q,11512680,1477225727
【暗物质】B神1V9敌法师惊天大翻盘 ACE定级赛 IG VS EHOME BO2 第一场,网络游戏,1,2669,11,13,7,10,3,1,暗物质95,38527305,1477225738
【双黄】【磊渤】【极挑衍生】寻梦（三生三世）,影视剪辑,1,1841,56,38,108,79,19,22,阿珂是珂不是柯,11619877,1477225825
【中字】久保由利香  机动战士Gundam SEED niconico生放送,官方延伸,2,857,12,14,49,15,8,1,目送芳尘,6456224,1477225782
0090非常有戏：《西厢记》的故事（学者访谈，名家名段）1,综艺,1,286,1,1,11,0,12,0,yangmufen,25215465,1477225897
【文君也】告白气球,日常,1,2721,119,59,145,54,21,11,林洁家的破橱窗,4277887,1477225895
【防弹少年团】【正泰】绝爱恋人 18+,明星,1,1345,4,2,41,5,6,7,Sidoimujeng,10747029,1477225692
《至尊红颜》【赵文卓】李君羡单人 第14集,影视剪辑,2,965,5,1,18,1,10,7,龙卷风卓华,50732907,1477225919
【极乐净土+不如跳舞】不如跳舞，双黑不如跳舞,搞笑,1,24255,168,41,400,48,75,740,挽若离歌,2913356,1477225735
占星师杜春天日常料理-回锅肉，虾米，鸡丁，生菜,美食记录,1,913,3,1,1,0,1,1,阿春阿夏,33362451,1477225904
TEKKEN 7 Fr 10_20 Ameba(Asuka) vs S Line(Asuka),单机游戏,2,20448,3,6,87,3,4,24,DJLEONA,31020187,1477225569
【v家村FIFA17】经理生涯模式#6 意大利超级杯决赛真实版,单机游戏,1,743,3,4,2,3,3,5,赵vv游戏解说,1999591,1477225920
[SAI一刀流绘画过程]  海贼SANJI万圣节人设   同人撸一发,绘画,1,173,1,3,8,9,1,3,直升飞机飞呀飞,1717399,1477225911
MAD AMV 多素材,MAD·AMV,1,589,9,23,10,10,5,3,八车拳西,24090539,1477225548
亚索,网络游戏,1,145,0,2,1,2,2,1,疾风踏浪剑客心丶,34117813,1477225680
2016.10.04  BOF T-ara Fan's Camera,明星,1,1610,3,11,38,4,6,5,宇文拓大人,13575504,1477225892
【逆风笑直播录像】【2016.10.22】【有弹幕】【18.55-21.40】,单机游戏,2,2562,8,7,23,7,15,5,1024乘768,6617857,1477225836
余姿昀映客直播 @20161007,明星,1,15,0,0,0,0,1,0,余姿昀全国后援会,49694293,1477225833
【Miracle】小鱼&Badman死灵法 交出你的MMR【JustWanPlayAGame】,电子竞技,2,3608,42,14,5,10,6,0,MystErious菌,4143603,1477225544
【弱音Haku】哼，姐姐的美腿有我守护//VALENTI,MMD·3D,1,66499,99,43,3633,245,56,50,Puzzle丶C,34449264,1477225886
【SNH48】雨中钢琴师,音乐综合,2,6117,9,3,82,3,17,14,乔木r1,2429085,1477225548
镇魂街  怀念   燃向,国产原创相关,1,130,4,1,2,2,3,0,带哥土,29108828,1477225833
【剧情向】【深蓝】【李易峰×赵丽颖】【陈深×蓝胭脂】第一篇 初遇,影视剪辑,1,11681,111,90,593,139,76,54,舍予以兑,24871182,1477225831
极限竞速6  Mazda RX7 - HIGH SPEED DRIFT - Motion In Blue系列,单机游戏,2,497,5,1,6,3,12,2,STWU,883100,1477225832
【中华经典资源库】郦波老师讲解部分【共十五讲】,野生技术协会,2,17174,11,17,343,13,60,5,明伦学堂,37314038,1477225783
THE LAST CRUISE IRAQ - F14 VIDEO,社科人文,2,197,1,0,4,1,1,0,热望杂货铺2333,28206853,1477225829
每个音游沙包都有那么一段黑历史,音游,1,90,0,7,2,2,6,0,SakuHanabi,4553705,1477225596
[CODBO2]Re：从零开始的异世界生活 艾米莉娅(爱蜜莉雅) 徽章制作,单机游戏,2,92,0,2,4,2,11,0,LabMem助手,11877066,1477225599
【MANGO酱】极乐净土试跳嘤嘤,宅舞,1,1835,146,19,14,88,13,10,MANMANMANGO酱,22807751,1477225623
英雄联盟S6世界赛，BP背景音乐合集,音乐综合,2,24550,46,55,500,53,53,87,织衣织衣织,770689,1477225869
【张艺兴】Colors,明星,1,4291,66,62,281,290,36,13,叁木,1355110,1477225609
曹炎烈击杀明教T视角-by电五唯满侠白鹭团,网络游戏,1,288,1,0,5,2,13,0,sp冥王星,26135949,1477225632
"综漫MAD,动漫剪辑就要燃起来！！",MAD·AMV,1,4792,40,16,108,42,41,2,银～桑,26728059,1477225560
进攻秩序之光,电子竞技,1,256,2,1,1,6,7,0,Dmeng小白,13126722,1477225918
【闲丸电台】Vol.5 万智都能怎么玩（下）,桌游棋牌,1,345,15,8,6,20,10,4,绯雨闲丸99,8184659,1477225640
【阴阳师】30发玄学抽符是否能出SSR,手机游戏,1,1957,110,5,8,10,8,0,艾斯欧丶,2628194,1477225915
KRIS WU 朴灿烈 2012.03.31TWO MOON 出道清晰现场[高清版],明星,2,4161,44,3,177,8,57,46,Fantasticharming,25096355,1477225559
质量王者局196丨锐雯vs潘森一个不平静的上路,电子竞技,1,3163,77,14,9,25,11,1,SilenceOB,2490227,1477225915
【张智霖】康熙 天子屠龙第4集cut  part3,影视剪辑,1,462,10,0,6,0,2,1,张智霖袁咏仪资源博,35801039,1477225651
