title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【星制造】《全面战争模拟》 论指挥官的重要性。,单机游戏,1,211,0,1,2,2,5,2,一只社畜名为海王星,8530881,1474716228
教室萌发突然的情愫，班花班草秒变奥斯卡演员！【三年八班】,搞笑,1,6766,49,16,32,23,20,2,莎莉哇学院,9010547,1474716338
[生肉]160922 食嫌王决定战【宫崎葵】,综艺,2,2975,22,8,49,13,5,0,武田Mayu,8739849,1474716179
【短但很好听】[良曲日推]All the love【第九十期】,音乐综合,1,86,1,2,1,1,4,0,吉村小鸟,5399897,1474716168
【张若昀X陈若轩】【伪预告】深渊 ● DOCTER-X,影视剪辑,1,2893,24,31,149,54,14,6,阿银24,2608286,1474716276
【Starset】It Has Begun,MV,2,2032,1,7,83,13,12,41,纽北跑不过GTR,22827761,1474716258
【小初菌】虐杀原形2 第一期,单机游戏,1,126,0,2,0,2,5,0,ConorJW,19959005,1474715998
前方高能！现在是月月个人演唱会时间,电子竞技,1,1705,5,2,2,0,16,0,楚乔不是宇文玥,8975732,1474716172
【Hasens】世末歌者（在点击之前先把音量调至10%）,翻唱,1,333,5,21,2,4,12,1,Hasens,35035639,1474716136
2016.9.24滑板日常练习,运动,1,86,0,5,0,2,9,1,肆物SW-芒果小子,18593195,1474716168
[老E 录播] 9.23下午 战神鹅儿！,单机游戏,1,27132,598,154,84,331,10,6,EdmundDZhang录制组,39865998,1474716276
【吃播剪说话+二倍速】奔驰哥BANZZ吃蛋糕,其他,2,8864,94,10,66,8,7,1,清晨の少女,17756313,1474716333
球球 -史诗级战役,手机游戏,1,599,4,6,1,3,14,0,若丶名,4069931,1474716150
【方无/戚顾】青锋在OP《剑酬知己》完整版（2016.03.09）,原创音乐,1,14577,370,128,796,538,191,268,鞋袜一笑,607642,1474716231
【AG集风】部落冲突：皇室战争 石头哥布林飞桶套路打法细节补充解说【细节补充~】,手机游戏,1,493,2,4,0,2,11,0,AG集风,27457952,1474716165
【七夜修罗解说】 使命召唤2 第十五期 “幸运露西”谢尔曼,单机游戏,1,539,0,5,1,1,3,2,七夜修罗,2474897,1474716277
【EXVS MBON】GAME REPLAY搬运 11-15,单机游戏,2,439,4,0,1,1,4,0,快乐的蟒蛇,749795,1474716280
【がおー】Fragile,翻唱,2,643,4,17,68,11,9,3,KitanoNani_无爱奇艺号,2811374,1474716255
2016福特F150猛禽 车展,汽车,2,1300,12,10,22,0,9,1,裴俊沅,13497867,1474716339
【osu!】Cookiezi plays Tablet + Mouse,音游,2,309,0,1,1,1,3,0,德克萨斯_企鹅帝国,7051502,1474716194
【7月/生肉】Atomic Puppet S01E11,连载动画,2,581,1,1,4,3,4,0,的伊卡洛斯,28490178,1474716270
time will remember us   （自剪）,影视剪辑,1,215,1,1,2,0,5,1,绿叶纷纷,28789694,1474716257
【Wink】Teen Top - Missing.MV[精美特效双语],明星,2,229,0,3,7,2,13,1,凉锦Ryokin,637263,1474716053
【俄罗斯佐藤】俄罗斯佐藤吃4.2kg咖喱饭,美食测评,2,37708,424,61,105,82,15,1,土豆炸弹PotatoBomb,1525320,1474716386
【MMD/吾王saber】骑士王的荣耀,MMD·3D,1,305,2,1,9,0,4,0,柯樂菌,3653931,1474716321
与小袁一起的双排【1】,网络游戏,1,51,0,4,1,8,2,2,梦觉_,7524969,1474716237
泡澡喽,汪星人,2,553,6,3,17,5,7,0,毛小孩的爆笑生活,13396705,1474716289
【失忆蝴蝶】滾石愛情故事傷痕|尹蓁X張副總。曾佩瑜X張本渝,预告 资讯,1,5889,9,7,21,8,18,4,旺仔小橘子,2070047,1474716288
听说有人要打本宝宝&元首的战争学院3（完结篇）,鬼畜调教,1,1834,28,8,7,2,2,0,里面一只雷神,16904375,1474716185
【Youtube转载】假面骑士Faiz(555) CSM腰带开箱评测！！！,手办·模玩,2,15375,205,36,187,25,50,19,mickkk,14874464,1474716322
【战地好基友Neebs Gaming】逗逼的意大利炮-bf1中最好的“枪”FK96【1080P/MrHarryWong字,单机游戏,2,2319,11,11,15,11,13,2,劲陶渊明独爱菊,26251228,1474716371
列车会客厅 邓婕专访,明星,2,1163,104,0,55,1,17,7,秋风乍起甚是想你,38207149,1474716241
10月 坂本冬美 特別公演 宣传短片【字幕】,明星,1,210,0,2,7,5,5,1,mi小美fuyu,12082061,1474716542
20周年纪念视频part3,日常,1,69,0,0,1,0,13,0,thefall926,16259021,1474716607
【陈伟霆舔屏向】饱饱说他什么衣服都驾驭的了。其实饱饱不管什么发型什么饰品也都很合适。,明星,1,995,18,3,34,10,9,0,黑金宝刀,2127277,1474716655
爱剪辑-灵契之狐来狐往《上》,综合,1,595,2,8,9,11,12,5,Ukccplxnc,10792960,1474716414
某组织重要小头目 辞去高薪职位只为在 某网站直播 这背后到底 有怎样的py交易,日常,1,66,4,7,2,8,6,0,萧白,33986,1474716718
【柠檬茶字幕组】【汤姆戴利】呆呆在里约单人10米台半决赛出局之后的采访，哭哭,运动,2,1721,15,11,15,9,5,8,柠檬茶字幕组,39556636,1474716569
7系统的iphone5C还能用么，对比6S.,手机平板,1,8149,91,22,17,10,7,3,岩科技,24958565,1474716465
【初音ミク】玲瓏流星群【YASUHIRO(康寛)】,VOCALOID·UTAU,2,4638,51,80,642,52,38,10,阿赫official,797614,1474716723
Minecraft平原豪宅,单机游戏,1,135,3,2,3,2,12,3,RMSHE,25314853,1474716635
小金子06-cut,影视剪辑,2,133,0,0,3,0,2,0,t_ablaze,25706275,1474716600
冰皮月饼,美食制作,1,1206,14,19,36,6,4,0,黑脸的猫咪叫喳喳,28449311,1474716564
【帅比天马】Undertale p3 搞笑的谜题,单机游戏,1,64,9,1,0,0,1,0,帅比天马,13270860,1474716638
猫咪健身不懈怠,喵星人,1,33,0,0,0,0,0,0,kkljjwutzz,41017865,1474716938
Stranger Things Millie bobby brown Q&A - SLCC 2016,影视剪辑,2,73,0,0,3,0,4,0,MillieBobbyBrown,951558,1474716925
【寅子·斗鱼直播录像】9月22日 （2）ABC在火箭全明星表现 NBA2K17,单机游戏,1,1454,0,0,3,0,3,0,HELO直播,8985593,1474716906
【女王盐实况】The Bunker 地堡,单机游戏,1,1016,14,4,11,14,5,0,女王盐,3140229,1474716919
【王俊凯】感到幸福你就拍拍手,明星,1,1029,2,3,35,3,15,8,Hyan-Yang,22622753,1474717163
【无缝】破晓将至×两秒之结,音乐综合,1,123,2,3,0,2,6,0,小A较瘦,6109116,1474716949
【给你一百条命和Mr.Killer谈恋爱】我这么有张力的配音结果主角是女性啊！,单机游戏,1,679,20,11,4,28,4,4,俺叫金阿胶，补血哦,263682,1474716872
教你玩虞姬，有糖吃。,电子竞技,1,723,11,9,6,25,14,0,cdsers,14484715,1474716999
【油管搬运】最近关于火柴的魔改好多啊！这又来5种火柴虐待方式,社科人文,2,4160,46,28,223,10,12,0,引火虫,693840,1474717072
【加号Kuma】荆棘王冠,翻唱,1,1498,96,97,68,107,20,12,加号Kuma,1353360,1474716977
Doomsday - Panda Eyes & Teminite - Immortal Flame [Everl,音游,2,144,4,0,4,2,1,1,德克萨斯_企鹅帝国,7051502,1474716975
2016 Worlds - Albis Vlog：韩国第七天 Korean Bootcamp Day 7 Part 1,电子竞技,2,98,0,0,0,0,3,0,简君Kobe,25278053,1474717037
2016.9.24Lovelive Only 麦芽糖  二年级小队  前进吧→Tomorrow！ 果：小毛兔   海：冥,宅舞,1,689,10,12,5,5,9,0,沉煜nw,38716541,1474717034
【cooking tree】培根洋葱圈填土豆泥 How to make Bacon onion ring,美食制作,2,13217,94,13,1829,39,88,144,辣辣的泡菜,1917072,1474716981
【元首单曲】飞过来之眼,鬼畜调教,2,447,2,4,2,1,4,2,冬天好心情,42880185,1474717160
【EXO】140321.F_W首尔时装周开幕式.EXO Cut,明星,2,614,3,1,21,1,15,0,凉锦Ryokin,637263,1474717029
孤岛危机2娱乐通关视频 part1 _bilibili,单机游戏,1,118,0,0,0,2,6,0,华尔兹风暴,571409,1474717444
【国米中心】16-17赛季 意甲联赛 国家德比 国际米兰2-1尤文图斯,运动,2,1248,2,9,26,6,13,7,新模范马路,5656041,1474717298
2016-9-24 孔垂楠 我在吃饭 没主题,明星,1,795,9,2,15,6,14,1,JacquelineTsui,15152810,1474717419
 【王俊凯】饭制剧《羁绊II》第二话预告,明星,1,607,24,16,27,34,5,3,凯小蟹K_Crab,6518883,1474717414
【Miracle·Top 3 Rampage】Dota 2 Miracle- TOP 3 Rampage Plays -,网络游戏,2,1,0,0,0,0,3,0,weapon121bilibili,17178058,1474717480
【FGO】伊莉亚活动简评【Carlie87】,手机游戏,1,2757,16,20,9,32,15,0,Carlie87-Okita,10074680,1474717248
EVE吉他那些事——合同骗术指南,网络游戏,1,2278,68,21,32,38,21,10,rizhi,1328839,1474717441
"Sunburst-itro,tobu",音乐综合,1,104,0,0,0,0,5,0,跨越天际线,17790570,1474717432
【EXVS MBON】GAME REPLAY搬运 21-25,单机游戏,2,506,1,0,2,1,1,0,快乐的蟒蛇,749795,1474717279
【伪娘HaNi九】萌化了的兔子舞（意外掉胸）,日常,1,66172,767,110,808,237,824,92,邹小枫c,37371250,1474717404
《四海兄弟2》全流程解说 第四章 墨菲法则,单机游戏,1,82,0,1,0,2,0,0,叶风轩翼,616441,1474717375
萌宠成长记4,动物综合,2,51,0,0,0,0,5,0,lqhisqivat,41269824,1474717274
【群像】江湖众生花,影视剪辑,1,3143,101,19,101,12,25,3,接近無限透明的藍,659233,1474717290
FZZT的故事向实况《神明的一天世界》01,单机游戏,1,115,7,9,2,12,2,0,FZZT,392848,1474717345
【绘画过程】沙滩与向日葵【CONISO生日快乐】,绘画,1,403,6,9,14,38,3,3,之之芝士蛋糕,647576,1474717432
【Live】洗牙Sia最新iHeartRadio音乐节全场表演,音乐现场,2,29542,849,69,1332,216,273,153,Jackson0920,19255217,1474717384
三星SD卡,手机平板,1,809,1,12,4,3,11,2,暗黑精灵z,10975415,1474717382
【GD版可爱颂】+【演唱会heartbreaker + SOBER】,明星,2,2269,15,5,62,5,9,3,yippeeyo_,28970760,1474717215
Dota 2 Fa♂Q Moments 72【Dota WhatTheFucK】,电子竞技,2,4805,24,15,0,3,4,0,MystErious菌,4143603,1474717720
【小蝶】GANSTA黑街op-renegade 附原创MAD（这么炫酷的特效你们确定不看不听么？）,翻唱,1,2062,12,43,31,84,28,12,梦蝶舞,2050762,1474717771
2016.9.24 石川佳纯回到小学母校 竟被老司机小学生问什么时候结婚,运动,2,1982,12,5,12,4,16,0,kasumi一笑入魂,40596875,1474717670
【元首】社会摇Ⅱ,鬼畜调教,1,226586,3165,457,7050,6790,2402,595,冠希204,2986310,1474717837
Harry&Dumbledore不得不说的二三事,影视剪辑,1,229,0,0,11,8,2,0,complicated502,25545261,1474717680
国产密室解密【P.R.I.C.E】,单机游戏,1,68,0,5,1,3,4,0,秋千的回忆,2574926,1474717741
《東西》创意折纸—收纳盒（六）,手工,1,3142,17,7,495,22,26,8,一度灰影视,36326546,1474717694
【怀旧向】历代游戏机内存大小对比,手机平板,2,3570,39,11,96,3,8,3,心情回忆录,532120,1474717728
(首次见mc的屠龙宝刀！)★我的世界★【黑洞另一侧！史诗级灾难片！】Ep17,单机游戏,1,205,5,4,4,9,3,1,杰森J,8337674,1474717789
守望屁股！！！随缘半藏,电子竞技,1,84,3,1,0,2,4,2,bupuhhh,20306756,1474717883
一言不合就开车（39）-台剧同乐会AB甜蜜瞬间合集 Alex & Benny我们结婚吧,影视剪辑,2,28292,16,4,143,4,15,25,小闲人VL,20615300,1474717914
【知念侑李】志村动物园20160924 chii cut 生肉,综艺,2,1411,69,10,39,14,9,1,山田_玉子,3548060,1474717833
魔兽世界7.0火法1亿血木桩24W,网络游戏,1,464,0,0,1,2,14,0,小小个LoLi,10130615,1474717721
圈9演唱《千与千寻》歌曲生命的名字，获评委全票（新增3首）,明星,2,393906,1255,648,4962,657,624,1257,米酒小桔子,4708661,1474717966
陈乔恩穿红遭喷 景甜出演环太平洋2,明星,1,2485,4,4,1,0,5,0,制片帮创意精选,38958539,1474717965
第一次pr剪辑-班级聚餐,日常,1,93,1,2,0,0,2,1,独眼死鱼,12042450,1474718509
炽热战地（red cruciuble：Firestorm）#2,单机游戏,1,811,3,12,5,4,5,1,乌冬堇,16478948,1474718518
20161026中本悠太生日快乐,明星,1,194,1,1,1,5,4,1,ygnchhhh,9314267,1474718533
【AKB】110330 笑到抽筋的虎牙真的是超卡哇伊的虎牙哦,综艺,2,3049,50,5,123,12,7,14,学术铁零,12836198,1474718470
TWICE五月大學庆典-娜璉＿Nayeon饭拍汇总,明星,2,613,0,0,30,2,7,2,12458555,25989893,1474718417
【EXVS MBON】精选GAME REPLAY 第一期,单机游戏,2,759,10,2,3,5,7,0,快乐的蟒蛇,749795,1474718646
【守望先锋/天使复活】Mercy-Heroes never die.,电子竞技,1,585,2,2,1,3,9,1,鲸落万物生,3225441,1474718429
「平民武器打爆破」第一期M16逆天15杀！平民武器也有春天,网络游戏,1,377,2,2,1,1,3,2,米格解说,7273696,1474718417
