title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【GOT7】if you do 八合一舞台现场混剪 [西装版],明星,1,53061,755,100,3407,533,622,212,luckdonkey,11459317,1466607495
污兔的仓鼠呆毛（外加没挂的3条咸鱼,动物综合,1,1436,16,10,4,7,3,0,蜂蜜柚子小污兔,10135375,1466607509
【罗志祥】鱼白之罗志祥搞笑史 5,明星,2,2651,450,20,70,17,12,6,我只想做一条咸鱼-,5141954,1466607579
【伊野尾慧】26岁生贺视频,明星,1,439,4,3,13,12,5,1,你是眼中明月,11409916,1466607542
【李艺彤】《贴身校花》开播发布会 李艺彤cut,明星,1,1956,14,6,14,12,4,1,Lostelliere李艺彤资源博,27932068,1466607492
[AKB48 SHOW!][LIVE]纯爱之音[触角革命字幕组],音乐综合,2,3951,50,6,122,7,21,8,itadakimayuyu,9738636,1466607487
剑网三从零开始第十九集完结,网络游戏,1,182,2,4,1,6,3,1,Chen_Fire,3533853,1466607459
【Lolita】可爱到飞起的RinRin Doll～！,服饰,2,2197,7,6,36,1,3,3,Ritsuki辰晞,2972533,1466607536
"snh48 鞠婧祎,刘炅然,郝婉晴,李艺彤,徐晗《入梦》献唱梦幻西游舞台剧_标清",明星,2,0,0,0,1,0,0,0,三叶草wuli元恩,12719113,1466607621
【马天宇】元芳个人向剪辑,影视剪辑,1,717,28,3,17,8,12,2,浮生一只喵,26010112,1466607660
【みこ】Dreaming ChuChu,宅舞,1,50606,383,191,2219,1440,378,549,七河みこ,32576862,1466607699
京王線 高尾山口駅～新宿駅 前面展望,日常,2,392,7,0,13,1,10,2,shsido,498563,1466607661
我的玉米蛇甜甜君10~小红日记~关爱强迫症患者,爬宠,1,130,1,0,1,0,2,0,铁汉,4583906,1466607674
燕麦华夫饼,美食制作,2,742,20,4,70,2,7,2,茶茶茶中辰焙,3109975,1466607684
剑豪日常无消耗53秒火山,网络游戏,1,427,3,1,1,0,5,0,Lee丶yuyu,18446040,1466607629
PC版LL受虐日记 第十三天：肝活动，肝活动！,音游,1,66,0,6,1,0,1,0,NO2莱恩哈特,11885499,1466607624
【你从未见过如此剧毒】禁绝边境线-giri giri 爱-口琴奏 月光制,演奏,1,26773,143,96,275,370,73,124,Bu开心の月光,392237,1466607817
【SNH48】20160622 TeamXⅡ《剧场女神》公演弹幕版,音乐综合,2,710,15,1,14,1,5,0,说了你又不做,18610929,1466607786
【原创中国风】6-22徐梦圆直播重播（部分版）,日常,1,4635,42,3,85,7,20,23,SusamMinami,9670338,1466607754
GOT7 结尾版FLY,明星,2,392,0,2,6,0,2,0,Ynepenthe,17436842,1466607877
[艾尔之光韩服]6/22测试服艾拉调整实测,网络游戏,2,0,0,0,1,0,0,0,akisimon,423873,1466607837
守望先锋本日最佳凄美爱情故事:大锤与天使物语,电子竞技,1,566,0,2,3,2,8,0,弗拉格酋长,769119,1466607763
【MMD】【Addiction】 TDA Lace Dress Haku,MMD·3D,1,80370,630,131,5889,1322,314,160,zijitutu缘兔子,7287761,1466607877
【免检厨房】S2E1健康无油葱油苏打饼,美食制作,1,3320,115,46,55,94,8,6,免检小绵羊,899,1466607855
八吧联赛LOL(ACG)VS英雄联盟(无双)第一局,电子竞技,1,175,0,1,1,4,6,1,一如黎明中的花朵z,3020599,1466607735
大神怎么说：如果你是女生会喜欢选手中的谁？,电子竞技,1,51261,220,54,398,28,96,150,兔玩网,22728867,1466607786
【沙雕】调皮刺猬摔跤后一脸懵逼,爬宠,1,482,1,4,2,0,6,0,埃斯佩尔昂斯,2047613,1466607746
Fon&Belle 杭州见面会粉拍视频,明星,2,4439,7,3,57,4,7,6,梦陌魇,16515045,1466607932
【吹风君烤】逆转裁判制作大赛_逆转的大将军馒头,单机游戏,1,3350,133,14,185,94,26,72,吹呀吹风君,31561474,1466607952
我们所认识的”逍遥哥哥“胡歌也有逗逼的一面,明星,1,1030,21,2,13,7,6,1,逗比头条君,25839895,1466607934
Re:从零开始的异世界生活之爱蜜莉雅特辑,综合,2,364,31,5,7,8,5,1,咸鱼干丸子,20874238,1466607939
生化危机6杰克篇结尾曲You saved me (MV),GMV,1,1095,39,5,23,14,22,7,但-丁,33090409,1466607879
 《顶天玩饥荒》 我都不知道冬天怎么过不去——EP2,单机游戏,1,311,2,2,1,8,11,5,老子要顶天2,10799682,1466607984
【韩国吃播】弗朗西斯卡吃巨型寿司、辣年糕+泡面+血肠、餐后甜点（自带分P）,美食测评,2,22580,325,29,108,16,8,0,土豆炸弹PotatoBomb,1525320,1466607946
【Mio】乱入练习赛,电子竞技,1,103,1,1,1,1,4,1,Mio咪哦,17967629,1466607919
权利的游戏；After the Thrones 09 Rickon’s Run (HBO),影视剪辑,2,294,0,0,1,0,2,0,叔老湿,23350594,1466608047
『黑手党3』Family Kick-Back 预告,单机游戏,2,2163,123,6,24,2,15,0,ldj7,136001,1466608002
【听歌向】纯音之夏与假期,音乐综合,1,427,3,5,15,7,9,0,亦酌ouo,2688008,1466608031
【天涯明月刀ol】心如蝶舞,GMV,1,2441,47,25,39,60,16,3,地缚仙,8132722,1466608070
GOT7 广州演唱会 1.31am,明星,2,1382,4,5,38,2,3,0,Ynepenthe,17436842,1466608014
【合集】电影《凤伊金先达》SHOWCASE视频【含独家前线拍摄影像】,明星,2,5932,34,4,103,3,17,24,Us俞承豪中文网,16773210,1466608117
怪物猎人X 上位联机狩猎海龙种系列【潜入任务 请将潜口龙狩猎！】,单机游戏,1,722,5,13,3,9,13,1,Mui-W,1823181,1466608092
【POI/疑犯追踪】【锤个人向】后会无期—Sameen Shaw,影视剪辑,1,2874,39,6,152,66,18,17,竹本.S,4045996,1466608083
【肉丁】[钢琴]Re:从零开始的异世界生活ED,演奏,1,2092,31,15,39,30,15,0,黑桃尖尖尖,4792024,1466608084
【Lolita/原宿风】适合春夏的甜系装扮～！【RinRin Doll】,服饰,2,6611,43,13,194,5,20,3,Ritsuki辰晞,2972533,1466608194
「千恋＊万花」 4格剧场,单机游戏,2,9419,115,24,286,68,43,41,昨夜丶Sakuya,259362,1466608158
主角队 vs 祸忌,Mugen,1,11547,78,10,61,3,20,47,极炫ギ罪恶,25200561,1466608198
「浩角翔起」歌曲專輯ＭＶ,音乐综合,2,384,0,1,10,3,13,2,趴趴熊喝抹茶,1521081,1466608177
平行世界里的湘琴与直树,综艺,1,1968,13,2,36,8,10,1,使徒利维,3002401,1466608167
【电竞毒瘤】中单黑猫的漫长人生局,电子竞技,1,235,15,2,1,0,11,0,諾幻晴,2851268,1466608160
天山中学15届毕业生视频【未删减加长版】,日常,1,178,0,0,5,2,10,1,LittleCrazyWind,11142791,1466608204
咪菜opv-陪你度过漫长岁月,明星,1,1551,15,10,74,41,11,3,此情赋琴,10026765,1466608218
半藏花火节,电子竞技,2,201,1,0,2,0,7,0,御坂喵森,1289291,1466608221
【守望先锋】岛田兄弟+麦克雷-it makes me ill,MMD·3D,1,9590,120,29,429,127,64,10,是禾呵呵子鸭,1654150,1466608355
【EC】奇妙能力歌,影视剪辑,1,1798,22,7,96,67,26,3,不正不正的歪歪,1905736,1466608379
【warcraft】【师徒+轻微莱麦】恋爱循环,影视剪辑,1,2015,62,16,84,54,18,4,铁臂小红心,15852714,1466608310
志愿者风采展示之志愿者招募,日常,1,374,0,1,0,0,19,0,贝利马列斯基,16785793,1466608325
