title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
圣斗神话EX 处女座沙加模型开箱【VG原创】,野生技术协会,1,4689,39,23,27,18,18,5,游戏时光VGtime,7979698,1466772708
鬼畜向：魔性的二爷,网络游戏,1,840,2,1,1,0,5,0,无聊兼悲剧,7597553,1466772635
【松鱼】适合学生党用的国产面膜（第一发）,美妆,1,18100,36,44,138,16,17,12,松鱼清酒,11208342,1466772669
【Green day】21 Guns (Live in Japan),音乐综合,2,19551,57,15,546,90,233,232,空集_,3806618,1466772653
「啊啪啪第3期」花儿：一款想让你放下手机的APP,手机平板,1,2344,46,11,15,1,6,0,钮酷科技,14757436,1466772737
【纪录片】纽约市动起来 3集全,人文·历史,2,7725,21,3,544,6,43,22,首席辅政大臣,15048031,1466772685
大王叫我来剿匪【辐射4·EP4】,单机游戏,1,79,0,0,1,0,1,0,请淡定鸡别动,12057899,1466772673
【第8回东方nico童祭】萌犬小吃货犬走椛酱『喜欢吃的你』【推荐】,MMD·3D,2,12368,100,88,1183,245,86,335,帕瓦双子,1879254,1466772739
2015广大附中中考百日誓师短片,日常,1,743,14,2,12,9,20,3,长鱼Fish,11806267,1466772690
【巨力重击】官方演示与实际效果对比,电子竞技,1,1004,3,4,5,2,3,0,sectordragon,41462,1466772725
BLOCK B(the letter)    zico  朴敬,演奏,1,342,3,2,8,4,0,4,左大贱,27375418,1525818877
【BIGBANG】160624 inke映客直播,明星,2,19965,506,44,480,30,25,1,ILOVEUGD的龙窝,9897223,1466772704
糟糕！偷偷练狗语被铲屎的发现了！赶紧说回喵语！[喵喵][喵喵] PS：这个演技我给零分……,喵星人,2,2478,10,7,70,19,57,0,酱板up,24875970,1466772740
战锤40K战争黎明3访谈和试玩,单机游戏,2,334,4,8,4,3,4,0,sshnuke,278529,1466772751
明教切磋藏剑,网络游戏,1,865,1,9,18,18,24,3,bili_25367111,25367111,1466772740
【这是我的战争】谁说大爷大妈不能去军营  —— 夕阳人物的军营打开方式,单机游戏,1,3082,64,16,16,20,21,14,鸽白尼inrepoc,7653864,1466772775
tablo  Simon D -Cypher & Burning Friday & Fly &,明星,2,1808,70,3,71,3,27,10,尤尤呃,21089298,1466772745
【薛之谦】【大张伟】四分钟相爱相杀！【综艺混剪】,明星,1,14227,101,12,308,97,33,33,攀的达,2863601,1466772755
LIVE字幕版【中森明菜】清教徒（1987）,音乐综合,2,12898,63,35,517,58,103,250,拉面大王,2869326,1466772759
【帝国时代2.战役】刺入罗马帝国的利剑---匈奴王2（风暴娱乐解说）,单机游戏,1,3295,11,5,12,22,14,5,风暴VL,3078209,1466772758
cs起源僵尸逃跑 ze_cosmo_canyon_v4fix,网络游戏,1,164,1,16,1,2,12,0,那我也很棒哦,6398171,1466772773
陈佳莹的总选拉票视频,明星,2,158,0,1,5,1,0,0,絮佩里的小王子,12321900,1466772772
【俞飞鸿X赵雅芝X刘敏涛X闫妮】命运的意外,日常,1,3426,172,14,98,13,17,9,银子伊人,26027103,1466772761
米米------撩男神方法大放送,搞笑,1,2892,17,6,5,8,5,0,bili_31993960,31993960,1466772748
【HAONA广告】20160501欧阳娜娜自然堂广告,明星,2,1537,2,2,45,2,31,7,欧阳娜娜刘昊然粉丝团,23109086,1466772760
【沧樗】刹那Plus ★-全都是那一刹那 世事无常的世界-,宅舞,1,847,83,32,17,37,9,1,沧樗儿_,683589,1466772781
【EC衍生/鲨美拉郎】我的愚蠢丈夫（危险妻子梗）,影视剪辑,1,190675,521,518,9915,4330,1026,943,雾中岛屿,4526938,1466772826
【第8回东方NICO童祭】疑惑的琪露诺,MMD·3D,2,858,106,17,37,3,6,1,星夜米兔,539265,1466772844
决意,MAD·AMV,1,1090,10,5,33,39,10,7,陶潜梦,3337740,1466772805
古墓丽影9-全剧情全地图收集100%完成度通关视频,单机游戏,2,63126,2592,74,1339,278,115,204,葫同裏有隻貓,3516013,1466772861
食彩之国 第630回 猪里脊【@FoodForFun】,社会·美食·旅行,2,172160,4255,253,2179,921,430,148,FoodForFun,2276820,1466772864
【全明星RAP】简单的日常拌嘴,鬼畜调教,1,3731,19,17,5,8,16,0,残云大人丶,21858056,1466772842
【LOVERED搬运】ASMR 玩核桃的声音 来自easyASMR,其他,2,116,0,3,4,0,9,0,LOVERED草莓,13555363,1466772822
【灵异视频】诡异的录像带,综艺,2,7645,135,15,39,2,23,11,不可思议学,14875420,1466772828
160619 VIXXCHOOL Ken solo Cheerup,明星,2,6879,84,19,351,27,100,35,哲豆sssi,15871021,1466772932
它一生的守候,汪星人,1,342,8,2,4,6,8,7,彧汐,29198921,1466773015
Angel beats【Brave Song】钢琴版,音乐综合,1,1441,6,13,41,37,15,0,25V10000uF,4176778,1466772942
搜罗联盟55 无情末日慧眼独具.孤身团灭,电子竞技,2,5702,214,26,19,11,6,1,默mo111,11456017,1466772992
苦命满图跑,网络游戏,1,27,1,0,1,0,2,0,烤鸭可别放盐,9279831,1466772951
【MMD】不高兴的猫耳女仆(>^ω^<)喵,MMD·3D,1,4191,37,96,493,82,13,15,节操可吃咩,6849132,1466772982
淮职-【西游记歪转】,搞笑,1,844,2,5,12,20,34,0,IF大柚子,9715437,1466773002
20160623 黄致列深圳FM <Without You>(自录1080P),明星,1,3562,35,3,54,6,19,0,diancl1,30471973,1466773030
斗破苍穹 第060集（作者：天蚕土豆）,日常,1,347,0,0,5,0,5,1,掌云小说,30780211,1466773008
【第8回东方NICO童祭】Guilty of cutie/绀碧studio【东方Vocal PV】,短片·手书·配音,2,11376,51,49,1233,252,74,203,伊吹小秋,448823,1466773099
【舞露】走在冷风中,翻唱,1,376,3,8,2,1,1,0,舞雩春秋,6374473,1466773132
Penbeat《南山南》,演奏,2,3522,39,7,78,11,43,5,陆王先,6903068,1466773078
"<白喵OAQ>-娃娃鱼,它那么可爱你们真的不进来看嘛？~",动物综合,1,6755,43,76,23,58,6,13,林白喵,11259780,1466773088
喜+1系列《杀戮空间2》游戏实况,单机游戏,1,131,2,2,5,4,1,0,单纯久de狼,10851178,1466773109
【Green Day】21st Century Breakdown [Official Music Video],音乐综合,2,353,1,4,14,5,5,4,空集_,3806618,1466773129
我的爱犬“走”了,汪星人,1,457,1,20,1,9,5,2,利齿龙,3450149,1466773114
good man SP01,影视剪辑,2,147,1,1,-1,2,4,1,叉子4869,3759643,1466773111
PayDay2日常之——与群友小号愉♂悦。,单机游戏,1,108,2,6,1,5,7,0,荒村酒徒,4504961,1466773101
[星空]那年夏天，最灿烂最寂寞的星空。,影视剪辑,1,3254,0,4,31,17,16,8,想来台北看雨,15240130,1466773081
上海迪士尼花车巡游,日常,1,272,0,0,1,4,12,0,iceglaze,10708157,1466773131
【阳仔25语合一】 let it go,翻唱,1,190,2,0,2,2,3,2,novaktang,29190847,1466773097
【电吉他】Kamuy-a2c from G5 project,演奏,1,4202,73,36,112,100,28,17,SKYline,17496,1466773147
【守望屁股】我的源氏 很骚，很菜,电子竞技,1,350,6,4,5,5,4,0,今天的肥狗拖更了吗,702003,1466773175
"【踢翻这盆狗粮】DDong Tae""诅咒""情侣编舞10cm热曲 喜欢春天吗?",街舞,2,6612,139,23,191,47,46,11,lana酱好纠结,4537274,1466773175
『My Little Apple』谁家的老婆还不领走？,MMD·3D,1,237,7,4,2,1,5,2,琉璃小兔兔,204592,1466773214
世界上最令人满意的视频 !,日常,2,2088,17,7,32,3,8,0,扛着钢枪去瑞士,18116622,1466773177
二B主人念了什么神奇的咒语，狗狗都精神分裂了,汪星人,2,3084,27,12,42,5,21,1,酱板up,24875970,1466773160
【仙剑云之凡】【幽蛮】脑洞之作——前世今生,影视剪辑,1,7346,36,4,60,22,6,9,艺饭we,30502441,1466773156
【G言】解语花,翻唱,1,1867,105,17,40,21,7,0,Giotto小言,7483858,1466773166
[虎扑字幕组]ESPN体育科学分析本-西蒙斯,运动,2,73012,52,26,94,11,56,26,亚军篮界,25163811,1466773163
【第8回东方Nico童祭】神意所在之处即人【强烈推荐！】,MMD·3D,2,25959,321,264,3405,1036,190,716,幻想乡的新月,149592,1466773148
