title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
声线模仿-东条希篇第一弹,短片·手书·配音,1,13985,105,118,266,149,36,109,防脱氧弹核糖萝核酸莉,12386196,1469782841
【MMD】于地灵殿前起舞【极乐净土】【金丝雀旗袍一键换人】,MMD·3D,1,6817,120,23,910,53,48,7,黑井Seiya,34199935,1469782849
【GOT7】日本综艺 猜歌名,明星,2,24351,213,46,858,16,28,28,胖次Just,21240797,1469782848
【炉石传说新手向乱斗篇】诶兄弟你不要投啊我还有张牌！,电子竞技,1,268,1,5,2,6,2,0,卧式ksin,2092763,1469782848
闪闪合集。,电子竞技,1,46,0,0,2,0,1,0,土间然,21148201,1469782893
【弗朗阿疼】征召排位！！！,电子竞技,1,188,1,2,0,0,3,0,弗朗阿疼！,13033063,1469782897
7月29日龙珠音乐——最美和声刘妍《有没有》,音乐综合,2,129,0,0,0,0,6,0,274406770,36188730,1469782893
爱剪辑-一起同过窗任一凡cut,影视剪辑,1,2938,17,6,24,14,18,6,小仙女棒棒啦,34423973,1469782860
《炉石传说》资料片CG合集(已更新至贫瘠之地的锤炼),电子竞技,2,97582,1181,177,2930,456,574,885,淡淡DE魂,2269655,1469782926
【まふまふ】被遗弃的恒星,翻唱,2,63712,1635,865,6076,1163,913,515,阿赫official,797614,1469782939
EXO KAI&LAY 舞台,明星,1,24352,252,23,981,83,66,219,wondder,16005681,1469782912
新人向/燃向/战斗吧！英雄们！,综合,1,181,4,6,5,1,1,0,Allurelove丶呗,23537193,1469782960
ROTW #161 - minty on jump_urgent_final,网络游戏,2,42,0,0,0,0,2,0,Indust,2867295,1469782931
【东方MMD】古明地姐妹的Just you know why(日常坑姐完成),MMD·3D,1,2865,17,27,96,41,19,12,我是来混经验的,804276,1469782988
【金属经典】Pantera - Walk,音乐综合,2,3220,2,5,61,6,33,17,HitmanR,1712636,1469782867
【ARASHI】Pefect  human 160430,综艺,1,1358,4,1,24,6,16,2,朝思暮,8368455,1469782988
封印者国服日常PVP见外挂,网络游戏,1,1840,14,8,2,3,11,1,麟·逆流,1800425,1469782977
