title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【光与影动漫社】欲于辉夜之城起舞 传教现场,宅舞,1,1901,36,23,31,66,27,8,光与影动漫社,17910847,1476599862
黑 悲剧局,网络游戏,1,23,1,1,1,0,16,0,琉璃小奏,24912223,1476599857
大师级指弹Tony McManus - 'Gnossiennes -- No. 1' - PRS Signature A,演奏,2,379,1,2,17,1,3,2,一眼就够了,20374370,1476599847
厉害了我的哥，非常绅♂士,网络游戏,1,27,0,0,3,2,2,0,我靠完了,34412720,1476599874
《无机化学》（宋天佑主讲）第九十一讲——第十四章 氮族元素（5）,野生技术协会,2,155,0,0,17,1,10,0,伢伢的板牙大叔,5133199,1476599936
感受音律-BELONG 麻麻我没见过这么带感的音乐,音乐综合,1,59,0,0,2,0,0,0,20岁了只去过大卡司,1786856,1476599855
【皇室战争】大小皮卡强推流,手机游戏,1,543,3,2,1,0,18,3,lAxxl,22841454,1476599894
Peach Pattie Tou 2013年泰国饮料广告,日常,2,17438,23,10,56,1,18,4,白FanF,22927764,1476599885
Minecraft隐藏小屋,单机游戏,1,352,2,3,1,5,5,6,北_枳_,38211828,1476599913
山区终于能上网了,野生技术协会,1,3701,14,31,19,5,21,14,SHIELDTech,11957569,1476599719
300英雄银时的真正的能力,电子竞技,1,590,0,3,1,0,5,0,街角守晨,27371460,1476599930
吃瓜群众第一次直播（然而并没有画完）,绘画,1,33,1,0,1,0,5,0,賢くん,811661,1476600000
快速从EXCEL表里两列相似数据中找出异同,社科人文,1,3170,3,5,103,17,26,42,Excel880实例教学网,8105179,1476599985
MIDU VLOG THAILAND泰国旅行快剪,日常,1,608,4,3,10,5,18,2,松露辰辰,9658413,1476599488
 【兔瓦斯】161016 Twice 蚕室棒球场Mina开球,明星,2,3316,9,6,109,3,16,21,不胜寒,12077992,1476599996
【哲羽】《中心医院-治愈时光》 实况流程 No.1,单机游戏,1,218,0,2,1,4,10,0,李哲羽930,2928743,1476600205
【Uchida】《LoveLive！Sunshine！！》120分钟画出樱内梨子,绘画,1,1361,27,75,65,74,12,12,老Uぐ,13747307,1476600196
【kento】大哥哥好不好咱们去捉泥鳅（不好！不去！）,翻唱,1,751,20,26,6,25,14,2,贤人kento,1309484,1476600119
虹桥机场两客机差3秒相撞模拟动画视频 给机长点赞！,日常,2,46755,78,110,227,20,48,73,天外飞仙HQ,17391815,1476600191
亡狱权孤岛惊魂3第7期我不该装逼的，熊大熊2,单机游戏,1,103,2,0,1,2,5,1,亡狱权,43982637,1476599505
【蓝瘦香菇】BLUESHOW【分镜作业】,短片·手书·配音,1,1101,6,17,15,18,6,29,红领巾德堡泰,6212421,1476600156
【为爱所困】滚哥带领为爱全员一起蛇精病之第二弹 Love sick the series cast x Big Bang,明星,1,43248,192,54,1321,212,223,295,华晨宇今天次又了嘛,10354991,1476599843
【ASMR】SW MUKBANG 吃越南粉（16.3.17）,其他,2,338,3,1,7,0,4,0,Maggie_0613,6819322,1476599628
【帝王和美人们·性转】魏晋南北朝篇,影视剪辑,1,13392,175,48,446,45,37,30,冰糖葫芦五,18903858,1476599640
红石教室丨可用于手机版的红石隐藏门,单机游戏,1,754,6,2,12,2,1,2,洛天依丿刺客丿天神,20613955,1476600218
【神火】割草大卡堆-双马尾战士,桌游棋牌,1,603,8,7,3,4,2,0,神火箭客,7768557,1476599608
【SKE48】 131012 08小时候的生日趴,音乐综合,2,592,6,9,22,3,5,2,生涯48G推,36059506,1476599865
【路痴】Team Secret vs Rising Lotus - Vainglory EU Evil Eight Sp,电子竞技,2,52,0,1,2,1,3,0,路痴痴Lelouchi,14677604,1476600210
"Daniel Lavoie live - Belle et Bum, 13 Oct 2016",音乐现场,2,205,8,3,14,1,3,1,TinnTinn,11153778,1476599814
【青蛙夫妇】23-2芸熙受伤,影视剪辑,2,32956,936,28,565,6,25,51,长颈鹿不护短,13245875,1476600213
天依X啊绫电音鬼步（试做,MMD·3D,1,557,8,1,28,2,14,0,洛chang安,21800785,1476599774
 【防弹少年团】161013 Mcountdown防弹少年团DAY原版比较,明星,2,576,3,3,7,2,6,0,防彈哇哈哈,25791416,1476599656
【小勿哭】每周聆听-Listen to my  heart,音乐综合,1,294,7,9,3,20,18,0,小勿哭sama,11972812,1476599773
【王博文小白】20161016 AIBB亚洲偶像榜采访,明星,2,520,11,3,9,3,5,0,小狐狸与小喵咪,26996542,1476599863
【抚顺熙瑶品牌爵士舞】Lyric Jazz抒情爵士 - 可惜没如果,街舞,1,1610,2,0,21,0,24,5,熙瑶品牌爵士舞,27758762,1476599843
【侠客风云传前传】EP5初入江湖阅历浅，天真遭骗两万钱,单机游戏,1,45,0,0,1,2,12,0,卤蛋fec,12646635,1476599622
【 茶蘼dota2 】161016 Miracle  奇迹哥  9000岁  DOTA2 幽鬼 墨丘利 spe  第一视,电子竞技,2,455,1,0,3,0,8,0,业琊lyf,35956189,1476599824
RED VELVET×BTS - Russian Roulette+Danger（MASHUP+SPEED UP+DOU,明星,2,7365,79,26,370,21,45,57,平谷一点绿,21894201,1476599509
【PS4】IW Beta 3,单机游戏,1,183,0,8,6,18,3,0,KagiyamaDoll,284413,1476599644
【英国】Daniel Rigby and Reece Shearsmith voice scarecrows,短片,2,958,7,6,52,7,13,7,Paroro222,22000416,1476599821
(MyCosRomance)Wayne Goss叔 The Anniversary Set 套刷开箱实测，顺便撸一个秋季,美妆,1,686,5,0,5,0,5,0,MyCosRomance,10680441,1476599659
[搬运]CAST大触---impala sketch,绘画,2,211,0,0,17,1,3,0,FishBedX,15245041,1476600099
普京盟友力挺特朗普：希拉里？让她管澡堂子都不放心！,综合,1,37540,126,78,273,29,47,286,观察者网,10330740,1476599722
【MV】演员林峯（林峰）个人音乐作品MV合集2,MV,2,1268,0,0,47,4,15,7,康樵,7401168,1476599722
KINKI KIDS  笨不笨 20161016  小泉孝太郎（高清）,综艺,2,8188,518,29,75,81,24,2,牙咩咯,1355391,1476600097
爱剪辑-刘亦菲—赵灵儿仙侠动作篇,影视剪辑,1,936,3,2,19,6,14,4,水明如镜看人间,8590936,1476599672
【Simon】你的名字。一定要去電影院看的三大理由。推薦向-防雷處理,综合,1,156,0,0,2,1,1,2,寺川西萌,36829407,1476599730
