title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【あやぱん】爱的剧本,翻唱,2,182,1,2,7,3,3,0,云籽,822974,1466522267
【苹果君/游戏】《基佬大乱斗》中国功夫，博大精深，我能一个打你们五…………五个,单机游戏,1,326,2,1,7,20,10,14,丨苹果灬君丨,32337426,1466522321
守望先锋 这不是幼儿源系列(大概) 6秒源能干什么! 持续更新,电子竞技,1,79,0,3,1,0,2,0,黒木パンツ,1659436,1466522304
【UZI直播】160621_韩服单排，即便薇恩不合理我也要证明这个英雄_Skying录制,电子竞技,1,3070,22,13,8,11,7,0,S酱的Uzi秀,25167049,1466522253
布兰妮 - I'm a Slave 4 U,音乐综合,2,1202,2,0,27,3,13,1,维京战歌,830808,1466522308
【凯源】KARROY观察日记之观时尚（糖点剪辑）,明星,1,14632,76,42,333,32,29,54,KRbfdl,340573,1466522338
Dva 四杀瞬间爆炸,网络游戏,1,22,0,0,1,0,4,0,羽鳥真一,1878298,1466522277
[极客鞋谈]球鞋黑话Ⅱ丨乳腺癌、大魔王、飞碟又是什么鬼,服饰,1,854,3,2,4,5,5,1,闪匡文化,31597254,1466522361
新款手链-白化牛蛇开食,野生动物,1,8218,101,20,16,28,13,13,灯火大魔王,6719082,1466522457
【新手向】纸胶带介绍及日常运用-愉♂悦的开箱,手工,1,1192,95,10,30,17,6,0,陈开开叫你开门啊,3016880,1466522470
20160619BelleFon FanMeeting in HangZhou-致謝詞,明星,2,425,4,0,8,0,8,0,waxia,26606978,1466522393
纪录片.CNN.内部人士讲美国.S03E04.现代媒人.Inside.Man[高清][生肉],人文·历史,2,1480,8,1,119,1,10,0,猛犸君侯,13374324,1466522476
前方高能！！2016E3大展新游混剪！！！（神TM结尾）,GMV,1,518,8,9,14,12,6,0,对不起花花我抱走了,9558385,1466522450
[CS起源僵尸逃跑] 最终幻想7:魔光炉 V6  insane难度通关 (无限子弹),网络游戏,1,593,8,21,2,28,16,0,我是疯狂丶,201023,1466522488
