title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
【兔子】像饼一样睡觉,动物综合,1,1016,7,3,8,2,14,0,一只小鸟啾啾啾,4256764,1466300480
韩国舞团EXID录制拍摄现场,明星,2,497,3,2,10,1,5,0,叔老湿,23350594,1466300501
【动感悦耳】Protera - Luminous 感受这神秘的节奏,电音,2,470,3,0,9,7,9,0,热可可希_Official,4213943,1466300501
【守望先锋】赋罗&霸枪：风骚走位疾风步，半藏上场送人头,电子竞技,1,111,5,3,1,1,7,0,永远白银一的赋罗,13545992,1466300524
【天野月】LION【AMN 2015】,音乐现场,2,388,11,2,28,5,13,7,edozu,32446785,1466300543
【Overwatch】【守望先锋】老年时刻 EP.28,电子竞技,1,186,0,0,2,0,9,0,White_Greatly,6610458,1466300463
 【洛奇英雄传】+12女大剑6分多无伤生与死之神--与死亡共舞吧to  victory,网络游戏,1,15299,144,158,90,201,73,13,玛莎有起床气Zzz,367927,1466300544
「个人向」16年07月Gal OP,MV,1,3565,163,73,107,144,20,12,昨夜丶Sakuya,259362,1466300463
关于火焰的10个有趣现象，中间有妹子出没，最后一个美极了,科学科普,2,0,0,0,1,0,2,0,谷神说电影,32717959,1466300475
【GTS】防弹少年团×GOT7 love is not over,明星,1,1120,23,7,61,17,9,1,汉子你好吗,22686929,1466300549
张民悦解说《龙珠：超宇宙》娱乐实况07魔人布欧,单机游戏,1,50,0,0,1,2,7,0,只玩半藏一玩就输,10878356,1466300526
ROTW #155 - Soup Can on jump_tissue,单机游戏,2,79,0,0,1,1,3,0,R2Android,10571021,1466300483
各家爱豆翻唱东方神起《咒文MIROTIC》合集（最新版）,明星,1,136486,4894,416,1814,61,219,291,大西瓜小鱼干,8856854,1466300568
【朴主】你带朴主朴：感觉这次浪费了好多水果,搞笑,1,1088,97,39,14,54,15,14,朴主Jayson,9347791,1466300652
【手毛出品】某哲学zx对战视频之真神乱我环境 弓姐诈尸vs米迦勒提督,单机游戏,1,73,0,0,1,0,3,0,冰海风雨,9442,1466300553
Unity_【稀音晨海】,鬼畜调教,1,1117,22,13,7,25,5,0,鱼了个韵韵韵韵,12909242,1466300643
【罪恶王冠】来自蝶析的低吟,音乐综合,2,3060,8,8,41,5,17,7,悠悠小触,13526768,1466300596
cs50 2015 week5 星期一,野生技术协会,2,80,0,3,6,1,1,0,噗噗kky,3018030,1466300601
【自制】新人平民向5-6 BOSS打法攻略！,网络游戏,1,195,2,5,3,6,6,0,一盘豆沙包,12293026,1466300575
【MMD】卸载,MMD·3D,2,278,2,9,34,4,10,6,花春晴HarumiHana,7001252,1466300594
Phantom Sage - Silence (feat. Byndy) [NCS Release],音乐综合,2,148,6,3,8,2,8,1,DJTAKERA,14997238,1466300646
【公益广告】Carbon Ad-Cate Blanchett 凯特布兰切特,明星,2,726,3,2,27,2,10,0,躺平静候大魔王,22618804,1466300576
战斗之景，心中往,综合,1,52,0,0,4,2,6,0,时间隐,28169706,1466300635
cs50 2015 week5 星期三,野生技术协会,2,81,0,0,4,0,6,0,噗噗kky,3018030,1466300611
cs50 2015 week7 星期一,野生技术协会,2,77,0,0,4,0,3,0,噗噗kky,3018030,1466300634
《战舰世界》大片向剪辑——巨舰之殇,网络游戏,1,703,4,2,5,2,4,1,AventasiaZ,13468347,1466300621
【無敵戰鬥者】【盗版宅】双人娱乐实况解说-世嘉MD游戏-宇宙战舰,单机游戏,1,680,11,4,11,6,11,3,無敵戰鬥者,382623,1466300599
i7 nagi卡面PPT(,综合,1,271,0,13,16,6,8,4,找不到我哈哈哈,727957,1466300662
粉色佳人翻糖生日蛋糕,美食制作,2,2081,26,4,53,3,4,0,网红穿衣搭配,29117990,1466300700
Pegboard Nerds & MIU - Weaponize,音乐综合,2,502,126,5,21,1,3,0,DJTAKERA,14997238,1466300681
【东方MMD】命运F91斯卡雷特姐妹的No Life Queen舞蹈而已,MMD·3D,2,565,21,7,15,5,4,1,没收王,4368478,1466300665
【 惊悚/悬疑】楼下的人(2015)精彩剪辑【1080P】【中英双语】【luckydag原创翻译】,影视剪辑,1,969,7,4,8,3,4,2,luckydag,27541727,1466300689
【日本铁道系列】京阪电铁的男山cable,社科人文,2,588,5,3,0,3,11,0,黑刀红雪,27380750,1466300671
【Casey Neistat】你的动力是什么？ What's Your Motivation?,日常,2,2208,15,3,70,10,36,6,KaneYGe,27462846,1466300743
Nasko - Dragonborn,音乐综合,2,481,88,4,11,4,10,5,DJTAKERA,14997238,1466300690
Ben Schnetzer“Khadgar”Warcraft interview cut,影视剪辑,2,427,10,3,0,1,12,0,某律律律律律,403065,1466300770
